"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035097","CC","GO:0035097","histone methyltransferase complex","8/531","62/19869",0.000234779580466184,0.0107529047853512,0.00939118321864736,"KDM6B/SETD1B/SETD1A/KMT2B/TAF4/HCFC1/NCOA6/KMT2C",8
"GO:0098862","CC","GO:0098862","cluster of actin-based cell projections","13/531","159/19869",0.000354095233904035,0.013086440818513,0.0114292059550332,"LRP2/SLC7A9/SLC5A6/SHANK2/SLC26A4/PLS1/CDC14A/CLIC1/SLC22A5/CA4/CLIC5/SLC15A1/VIL1",13
"GO:0099572","CC","GO:0099572","postsynaptic specialization","21/531","342/19869",0.00037930915193606,0.013086440818513,0.0114292059550332,"SORCS2/ARHGEF9/SHANK2/PRR12/LRFN1/CHRNA3/SLC16A3/DAGLA/DCC/NRCAM/KCND3/SLC6A9/ARHGAP32/KLHL17/CACNA1C/DROSHA/P2RX4/PDPK1/ERBB4/CADM1/PAK3",21
"GO:0005765","CC","GO:0005765","lysosomal membrane","24/531","418/19869",0.000400022208426163,0.013086440818513,0.0114292059550332,"LRP2/PIGR/PLEKHM1/VPS13C/SORT1/EVA1A/ENPP1/CLEC16A/SZT2/TOM1/GPLD1/KLC2/P2RX4/LAMP2/ATP11C/ATP6AP2/TSPAN1/ACP3/MGST1/CP/ELAPOR1/SLC3A2/GLIPR1/ITM2C",24
"GO:0098852","CC","GO:0098852","lytic vacuole membrane","24/531","418/19869",0.000400022208426163,0.013086440818513,0.0114292059550332,"LRP2/PIGR/PLEKHM1/VPS13C/SORT1/EVA1A/ENPP1/CLEC16A/SZT2/TOM1/GPLD1/KLC2/P2RX4/LAMP2/ATP11C/ATP6AP2/TSPAN1/ACP3/MGST1/CP/ELAPOR1/SLC3A2/GLIPR1/ITM2C",24
"GO:0031526","CC","GO:0031526","brush border membrane","7/531","57/19869",0.000778446434398628,0.0223971027673287,0.0195607884430818,"LRP2/SLC7A9/SLC5A6/SHANK2/SLC26A4/SLC22A5/CA4",7
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","19/531","312/19869",0.000782431537723272,0.0223971027673287,0.0195607884430818,"SERPINA1/ADAMTSL4/TSPAN33/EVA1A/COL22A1/ADAMTS7/FOXRED2/CLN6/SPON1/GOLM1/TMEM43/SHISA5/APLP2/P3H1/QSOX1/CP/ITIH2/CHGB/IGFBP1",19
"GO:0005774","CC","GO:0005774","vacuolar membrane","24/531","461/19869",0.00154901169313359,0.0417321973797166,0.0364473339560844,"LRP2/PIGR/PLEKHM1/VPS13C/SORT1/EVA1A/ENPP1/CLEC16A/SZT2/TOM1/GPLD1/KLC2/P2RX4/LAMP2/ATP11C/ATP6AP2/TSPAN1/ACP3/MGST1/CP/ELAPOR1/SLC3A2/GLIPR1/ITM2C",24
"GO:0043025","CC","GO:0043025","neuronal cell body","25/531","497/19869",0.00199079490360234,0.0484832213044063,0.0423434247200055,"SORCS2/ASIC2/MAST1/SHANK2/NCDN/CHRNA3/CYFIP1/KCND3/HCFC1/AMFR/SLC1A1/ALCAM/KLHL17/CACNA1C/PTPRF/P2RX4/MYO10/ASS1/SLC3A2/KLHL14/GPM6A/RTN4RL1/ANXA3/P2RX7/PCSK1",25
"GO:0030667","CC","GO:0030667","secretory granule membrane","18/531","313/19869",0.00201131267420026,0.0484832213044063,0.0423434247200055,"PIGR/VPS13C/NBEAL2/IQGAP2/CCDC136/CYSTM1/TOM1/LAMP2/CD47/ATP6AP2/APLP2/STK10/ACP3/CD9/MGST1/CD14/CA4/GLIPR1",18
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","15/518","165/18432",6.68377883750357e-05,0.0136803000777561,0.0120609835992832,"SLC7A4/SLC7A9/SLC5A6/MFSD2A/SLC16A6/SLC16A3/SLC26A4/SLC6A9/SLC1A1/SLC25A13/SLC7A6/SFXN1/SLC7A8/SLC3A2/SLC5A8",15
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","15/518","166/18432",7.16184485443256e-05,0.0136803000777561,0.0120609835992832,"SLC7A4/SLC7A9/SLC5A6/MFSD2A/SLC16A6/SLC16A3/SLC26A4/SLC6A9/SLC1A1/SLC25A13/SLC7A6/SFXN1/SLC7A8/SLC3A2/SLC5A8",15
"GO:0019842","MF","GO:0019842","vitamin binding","14/518","149/18432",8.13181128917365e-05,0.0136803000777561,0.0120609835992832,"ETNPPL/CTH/FASN/CD320/ABAT/PC/GCAT/THNSL2/ALAS1/HLCS/TKT/P3H1/TCN2/ADH4",14
"GO:0042800","MF","GO:0042800","histone methyltransferase activity (H3-K4 specific)","5/518","18/18432",0.000108764538257221,0.0136803000777561,0.0120609835992832,"SETD1B/SETD1A/KMT2B/KMT2C/SETBP1",5
"GO:0046873","MF","GO:0046873","metal ion transmembrane transporter activity","27/518","436/18432",0.000115206359324064,0.0136803000777561,0.0120609835992832,"SLC39A4/SLC5A6/SLC41A2/ASIC2/ATP2A3/MFSD2A/TRPM3/HCN4/SLC18A2/CACNA2D3/ATP2C2/KCND3/SLC6A9/SLC9A1/SLC1A1/CACNA1D/CACNA1C/P2RX4/MCU/SLC40A1/SLC3A2/SCNN1G/GPM6A/SCNN1B/SLC5A8/ATP12A/SLC12A3",27
"GO:0008374","MF","GO:0008374","O-acyltransferase activity","8/518","54/18432",0.000123000311685486,0.0136803000777561,0.0120609835992832,"PLA2G4A/CROT/LCLAT1/AGPAT3/ABHD5/MBOAT1/MBOAT2/MOGAT1",8
"GO:0015081","MF","GO:0015081","sodium ion transmembrane transporter activity","14/518","156/18432",0.000133163105473879,0.0136803000777561,0.0120609835992832,"SLC5A6/ASIC2/MFSD2A/HCN4/SLC18A2/SLC6A9/SLC9A1/SLC1A1/SLC3A2/SCNN1G/SCNN1B/SLC5A8/ATP12A/SLC12A3",14
"GO:0018024","MF","GO:0018024","histone-lysine N-methyltransferase activity","7/518","43/18432",0.000178118283090638,0.0136803000777561,0.0120609835992832,"SETD1B/SETD1A/KMT2B/KMT2C/SETD5/SETBP1/MECOM",7
"GO:0016411","MF","GO:0016411","acylglycerol O-acyltransferase activity","6/518","31/18432",0.000193697249205793,0.0136803000777561,0.0120609835992832,"LCLAT1/AGPAT3/ABHD5/MBOAT1/MBOAT2/MOGAT1",6
"GO:0015175","MF","GO:0015175","neutral amino acid transmembrane transporter activity","7/518","44/18432",0.000206746343531156,0.0136803000777561,0.0120609835992832,"SLC7A9/SLC6A9/SLC1A1/SLC25A13/SFXN1/SLC7A8/SLC3A2",7
"GO:0015291","MF","GO:0015291","secondary active transmembrane transporter activity","18/518","246/18432",0.000216991187884621,0.0136803000777561,0.0120609835992832,"SLC5A6/MFSD2A/SLC16A6/SLC16A3/SLC26A4/SLC18A2/SLC6A9/SLC9A1/SLC1A1/SLC25A13/SLC7A6/MCU/SLC22A5/SLC7A8/SLC3A2/SLC15A1/SLC5A8/SLC12A3",18
"GO:0042054","MF","GO:0042054","histone methyltransferase activity","8/518","59/18432",0.000231861058515819,0.0136803000777561,0.0120609835992832,"SETD1B/SETD1A/KMT2B/KMT2C/SETD5/PRMT6/SETBP1/MECOM",8
"GO:0003841","MF","GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity","5/518","21/18432",0.000240908382505932,0.0136803000777561,0.0120609835992832,"LCLAT1/AGPAT3/ABHD5/MBOAT1/MBOAT2",5
"GO:0086080","MF","GO:0086080","protein binding involved in heterotypic cell-cell adhesion","4/518","12/18432",0.000255025567361632,0.0136803000777561,0.0120609835992832,"DSC2/NRCAM/DSG2/CD47",4
"GO:0042171","MF","GO:0042171","lysophosphatidic acid acyltransferase activity","5/518","23/18432",0.000380291722644642,0.0166242729541486,0.0146564828483559,"LCLAT1/AGPAT3/ABHD5/MBOAT1/MBOAT2",5
"GO:0071617","MF","GO:0071617","lysophospholipid acyltransferase activity","5/518","23/18432",0.000380291722644642,0.0166242729541486,0.0146564828483559,"LCLAT1/AGPAT3/ABHD5/MBOAT1/MBOAT2",5
"GO:0030295","MF","GO:0030295","protein kinase activator activity","11/518","115/18432",0.000396847199447812,0.0166242729541486,0.0146564828483559,"WNK1/AFAP1L2/BMPR1B/PARP16/MOB3C/CCNK/EGFR/MAP2K1/GPRC5B/GPRC5C/ERBB4",11
"GO:0003713","MF","GO:0003713","transcription coactivator activity","19/518","281/18432",0.00039845128252287,0.0166242729541486,0.0146564828483559,"NUPR1/ATN1/ZMIZ1/HCFC1/ARID1A/ZMIZ2/NCOA6/KMT2C/MED12L/CAMTA2/BCL9L/SMARCD1/EP300/LPIN2/BCL9/ARID1B/PDLIM1/SFR1/BRCA1",19
"GO:0015179","MF","GO:0015179","L-amino acid transmembrane transporter activity","8/518","66/18432",0.000505914981995353,0.0199969553409742,0.0176299459099766,"SLC7A9/SLC6A9/SLC1A1/SLC25A13/SLC7A6/SFXN1/SLC7A8/SLC3A2",8
"GO:0019209","MF","GO:0019209","kinase activator activity","11/518","121/18432",0.000612612013328044,0.0225788453005842,0.0199062214507919,"WNK1/AFAP1L2/BMPR1B/PARP16/MOB3C/CCNK/EGFR/MAP2K1/GPRC5B/GPRC5C/ERBB4",11
"GO:0015171","MF","GO:0015171","amino acid transmembrane transporter activity","9/518","85/18432",0.000631365847286643,0.0225788453005842,0.0199062214507919,"SLC7A4/SLC7A9/SLC6A9/SLC1A1/SLC25A13/SLC7A6/SFXN1/SLC7A8/SLC3A2",9
"GO:0022853","MF","GO:0022853","active ion transmembrane transporter activity","18/518","278/18432",0.000928007533272649,0.03167880261308,0.027929030546818,"ATP13A4/SLC5A6/ATP2A3/MFSD2A/SLC16A3/SLC26A4/SLC18A2/ABCC6/ATP2C2/SLC6A9/SLC9A1/SLC1A1/SLC25A13/SLC3A2/SLC15A1/SLC5A8/ATP12A/SLC12A3",18
"GO:0045296","MF","GO:0045296","cadherin binding","20/518","333/18432",0.00124882027286024,0.0400965358642973,0.035350369414315,"PPP1R13L/ARHGAP1/FASN/ATXN2L/HCFC1/PFKP/CTNNAL1/KLC2/FER/EGFR/P2RX4/F11R/LASP1/PDLIM1/CLIC1/ARHGAP18/KDR/DIAPH3/SLC3A2/CCNB2",20
"GO:0016279","MF","GO:0016279","protein-lysine N-methyltransferase activity","7/518","59/18432",0.00128138064013733,0.0400965358642973,0.035350369414315,"SETD1B/SETD1A/KMT2B/KMT2C/SETD5/SETBP1/MECOM",7
"GO:0016278","MF","GO:0016278","lysine N-methyltransferase activity","7/518","60/18432",0.00141614117509836,0.0425408808999547,0.0375053810162892,"SETD1B/SETD1A/KMT2B/KMT2C/SETD5/SETBP1/MECOM",7
"GO:0022804","MF","GO:0022804","active transmembrane transporter activity","23/518","417/18432",0.00172887957156112,0.0499380214708615,0.044026933219107,"ATP13A4/SLC5A6/ATP2A3/MFSD2A/SLC16A6/SLC16A3/SLC26A4/SLC18A2/ABCC6/ATP2C2/SLC6A9/SLC9A1/SLC1A1/SLC25A13/SLC7A6/MCU/SLC22A5/SLC7A8/SLC3A2/SLC15A1/SLC5A8/ATP12A/SLC12A3",23
