Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-7.9,3.3,7.1,30211,742,367,30,8.2,1.4,231|622|660|1040|1543|1591|1800|3030|3032|4036|5743|8611|11001|11343|51495|55500|57110|60481|79071|81579|84803|84879|85465|116255|129642|154141|200879|204962|284486|390916,AKR1B1|BDH1|BMX|CDS1|CYP1A1|CYP24A1|DPEP1|HADHA|HADHB|LRP2|PTGS2|PLPP1|SLC27A2|MGLL|HACD3|ETNK1|PLAAT1|ELOVL5|ELOVL6|PLA2G12A|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5|NUDT19,-4.6,MyList
Reactome Gene Sets,6,R-HSA-425407,SLC-mediated transmembrane transport,,-7.9,5.6,8.1,30211,250,367,17,4.6,1.1,1317|1356|3933|5172|6549|6559|6564|6583|9123|9498|23428|28965|85413|85414|114134|117247|204962,SLC31A1|CP|LCN1|SLC26A4|SLC9A2|SLC12A3|SLC15A1|SLC22A4|SLC16A3|SLC4A8|SLC7A8|SLC27A6|SLC22A16|SLC45A3|SLC2A13|SLC16A10|SLC44A5,-4.6,MyList
GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-7.8,4.3,7.5,30211,423,367,22,6,1.2,132|220|231|445|467|672|1543|2628|3707|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506|200879|341392,ADK|ALDH1A3|AKR1B1|ASS1|ATF3|BRCA1|CYP1A1|GATM|ITPKB|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10|LIPH|ACSM4,-4.6,MyList
KEGG Pathway,24,hsa05418,Fluid shear stress and atherosclerosis,,-7.8,7.7,8.8,30211,139,367,13,3.5,0.96,445|652|1728|2952|3791|4257|4688|5327|6385|7295|7422|8878|221357,ASS1|BMP4|NQO1|GSTT1|KDR|MGST1|NCF2|PLAT|SDC4|TXN|VEGFA|SQSTM1|GSTA5,-4.6,MyList
GO Biological Processes,19,GO:0046486,glycerolipid metabolic process,19_GO:0008152 metabolic process,-7.7,4.6,7.6,30211,357,367,20,5.4,1.2,660|1040|3030|3707|5281|6583|9514|10955|11343|55500|57110|84803|84879|85465|116255|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|SLC22A4|GAL3ST1|SERINC3|MGLL|ETNK1|PLAAT1|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-4.5,MyList
Canonical Pathways,11,M3468,NABA ECM REGULATORS,,-7.4,5.5,7.8,30211,238,367,16,4.4,1.1,2|1510|4321|4322|5055|5268|5269|5327|5340|7076|9508|10855|54507|81621|89778|92949,A2M|CTSE|MMP12|MMP13|SERPINB2|SERPINB5|SERPINB6|PLAT|PLG|TIMP1|ADAMTS3|HPSE|ADAMTSL4|KAZALD1|SERPINB11|ADAMTSL1,-4.2,MyList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-7.3,3.9,7.1,30211,491,367,23,6.3,1.3,220|231|672|1543|1591|2628|3030|3032|5214|5743|11001|11343|26227|27329|28965|51495|60481|79071|157506|200879|284486|341392|390916,ALDH1A3|AKR1B1|BRCA1|CYP1A1|CYP24A1|GATM|HADHA|HADHB|PFKP|PTGS2|SLC27A2|MGLL|PHGDH|ANGPTL3|SLC27A6|HACD3|ELOVL5|ELOVL6|RDH10|LIPH|THEM5|ACSM4|NUDT19,-4.2,MyList
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-7.3,3.2,6.7,30211,751,367,29,7.9,1.4,2|302|306|652|795|1510|1950|3606|4321|4322|5055|5268|5269|5327|5340|6286|6369|6385|7076|7422|7481|9508|10855|27329|29094|54507|81621|89778|92949,A2M|ANXA2|ANXA3|BMP4|S100G|CTSE|EGF|IL18|MMP12|MMP13|SERPINB2|SERPINB5|SERPINB6|PLAT|PLG|S100P|CCL24|SDC4|TIMP1|VEGFA|WNT11|ADAMTS3|HPSE|ANGPTL3|LGALSL|ADAMTSL4|KAZALD1|SERPINB11|ADAMTSL1,-4.2,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-7.2,4.1,7.1,30211,419,367,21,5.7,1.2,290|302|652|1950|2034|2321|3606|3791|4036|4643|4854|4897|5743|7422|7481|10855|11082|27329|113026|284217|284340,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|IL18|KDR|LRP2|MYO1E|NOTCH3|NRCAM|PTGS2|VEGFA|WNT11|HPSE|ESM1|ANGPTL3|PLCD3|LAMA1|CXCL17,-4.2,MyList
GO Biological Processes,19,GO:0048608,reproductive structure development,19_GO:0022414 reproductive process,-7.2,4.1,7.1,30211,419,367,21,5.7,1.2,2|652|899|2034|2175|2674|2707|2735|3791|3880|4036|5268|5340|5743|7422|9985|51294|80000|113026|157506|259266,A2M|BMP4|CCNF|EPAS1|FANCA|GFRA1|GJB3|GLI1|KDR|KRT19|LRP2|SERPINB5|PLG|PTGS2|VEGFA|REC8|PCDH12|GREB1L|PLCD3|RDH10|ASPM,-4.2,MyList
Reactome Gene Sets,6,R-HSA-1483257,Phospholipid metabolism,,-7.2,5.8,7.8,30211,212,367,15,4.1,1,660|1040|3030|3032|11343|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962,BMX|CDS1|HADHA|HADHB|MGLL|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-4.2,MyList
GO Biological Processes,19,GO:0061458,reproductive system development,19_GO:0032502 developmental process,-7.2,4.1,7.1,30211,422,367,21,5.7,1.2,2|652|899|2034|2175|2674|2707|2735|3791|3880|4036|5268|5340|5743|7422|9985|51294|80000|113026|157506|259266,A2M|BMP4|CCNF|EPAS1|FANCA|GFRA1|GJB3|GLI1|KDR|KRT19|LRP2|SERPINB5|PLG|PTGS2|VEGFA|REC8|PCDH12|GREB1L|PLCD3|RDH10|ASPM,-4.2,MyList
WikiPathways,27,WP4754,IL-18 signaling pathway,,-7.2,5,7.5,30211,279,367,17,4.6,1.1,379|467|3606|4322|4688|5743|6385|6559|6641|7076|7422|8840|8870|9076|9133|10418|51299,ARL4D|ATF3|IL18|MMP13|NCF2|PTGS2|SDC4|SLC12A3|SNTB1|TIMP1|VEGFA|CCN4|IER3|CLDN1|CCNB2|SPON1|NRN1,-4.2,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-7.2,3.8,6.9,30211,503,367,23,6.3,1.3,290|302|652|1950|2034|2321|2701|3606|3791|4036|4643|4854|4897|5340|5743|7422|7481|10855|11082|27329|113026|284217|284340,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|GJA4|IL18|KDR|LRP2|MYO1E|NOTCH3|NRCAM|PLG|PTGS2|VEGFA|WNT11|HPSE|ESM1|ANGPTL3|PLCD3|LAMA1|CXCL17,-4.2,MyList
GO Biological Processes,19,GO:0010951,negative regulation of endopeptidase activity,19_GO:0048519 negative regulation of biological process,-7,5.2,7.5,30211,251,367,16,4.4,1.1,2|302|1410|1800|2810|3933|5055|5268|5269|5329|5627|5743|7076|7422|7429|89778,A2M|ANXA2|CRYAB|DPEP1|SFN|LCN1|SERPINB2|SERPINB5|SERPINB6|PLAUR|PROS1|PTGS2|TIMP1|VEGFA|VIL1|SERPINB11,-4.1,MyList
GO Biological Processes,19,GO:0072330,monocarboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-7,6.6,8,30211,161,367,13,3.5,0.96,220|672|1543|2628|5743|11001|11343|51495|60481|79071|157506|200879|341392,ALDH1A3|BRCA1|CYP1A1|GATM|PTGS2|SLC27A2|MGLL|HACD3|ELOVL5|ELOVL6|RDH10|LIPH|ACSM4,-4.1,MyList
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0008152 metabolic process,-6.9,4.6,7.2,30211,325,367,18,4.9,1.1,231|672|1543|1591|3030|3032|5743|11001|11343|27329|28965|51495|60481|79071|200879|284486|341392|390916,AKR1B1|BRCA1|CYP1A1|CYP24A1|HADHA|HADHB|PTGS2|SLC27A2|MGLL|ANGPTL3|SLC27A6|HACD3|ELOVL5|ELOVL6|LIPH|THEM5|ACSM4|NUDT19,-4,MyList
GO Biological Processes,19,GO:0006644,phospholipid metabolic process,19_GO:0008152 metabolic process,-6.9,4.3,7,30211,364,367,19,5.2,1.2,660|1040|3030|3707|5281|8611|10955|27329|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|PLPP1|SERINC3|ANGPTL3|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-4,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-6.8,3.6,6.7,30211,526,367,23,6.3,1.3,290|302|652|1950|2034|2321|2701|3606|3791|4036|4643|4854|4897|5340|5743|7422|7481|10855|11082|27329|113026|284217|284340,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|GJA4|IL18|KDR|LRP2|MYO1E|NOTCH3|NRCAM|PLG|PTGS2|VEGFA|WNT11|HPSE|ESM1|ANGPTL3|PLCD3|LAMA1|CXCL17,-3.9,MyList
GO Biological Processes,19,GO:0009636,response to toxic substance,19_GO:0050896 response to stimulus,-6.8,5.4,7.4,30211,229,367,15,4.1,1,445|1543|1728|2745|2952|4257|5179|5292|5743|7295|9076|23428|84293|140803|140809,ASS1|CYP1A1|NQO1|GLRX|GSTT1|MGST1|PENK|PIM1|PTGS2|TXN|CLDN1|SLC7A8|PRXL2A|TRPM6|SRXN1,-3.9,MyList
GO Biological Processes,19,GO:0010466,negative regulation of peptidase activity,19_GO:0048519 negative regulation of biological process,-6.8,5,7.3,30211,262,367,16,4.4,1.1,2|302|1410|1800|2810|3933|5055|5268|5269|5329|5627|5743|7076|7422|7429|89778,A2M|ANXA2|CRYAB|DPEP1|SFN|LCN1|SERPINB2|SERPINB5|SERPINB6|PLAUR|PROS1|PTGS2|TIMP1|VEGFA|VIL1|SERPINB11,-3.9,MyList
GO Biological Processes,19,GO:0001655,urogenital system development,19_GO:0032502 developmental process,-6.8,4.4,7,30211,334,367,18,4.9,1.1,231|445|652|1910|2650|2674|2735|4036|4643|4854|5268|6385|7422|7481|26249|57216|80000|157506,AKR1B1|ASS1|BMP4|EDNRB|GCNT1|GFRA1|GLI1|LRP2|MYO1E|NOTCH3|SERPINB5|SDC4|VEGFA|WNT11|KLHL3|VANGL2|GREB1L|RDH10,-3.9,MyList
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-6.7,4.6,7.1,30211,301,367,17,4.6,1.1,2|652|825|2006|2244|3694|3791|3910|4321|4322|5340|6385|7076|9508|10516|54829|284217,A2M|BMP4|CAPN3|ELN|FGB|ITGB6|KDR|LAMA4|MMP12|MMP13|PLG|SDC4|TIMP1|ADAMTS3|FBLN5|ASPN|LAMA1,-3.9,MyList
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-6.7,3.3,6.5,30211,621,367,25,6.8,1.3,2|302|928|1950|2244|3705|3832|5055|5269|5327|5329|5340|5627|5768|6385|7076|7422|9123|9585|10382|11004|11343|23428|59345|113220,A2M|ANXA2|CD9|EGF|FGB|ITPK1|KIF11|SERPINB2|SERPINB6|PLAT|PLAUR|PLG|PROS1|QSOX1|SDC4|TIMP1|VEGFA|SLC16A3|KIF20B|TUBB4A|KIF2C|MGLL|SLC7A8|GNB4|KIF12,-3.9,MyList
GO Biological Processes,19,GO:0045861,negative regulation of proteolysis,19_GO:0048519 negative regulation of biological process,-6.5,4.2,6.7,30211,350,367,18,4.9,1.1,2|302|1410|1800|2810|3933|5055|5268|5269|5327|5329|5627|5743|7076|7422|7429|55872|89778,A2M|ANXA2|CRYAB|DPEP1|SFN|LCN1|SERPINB2|SERPINB5|SERPINB6|PLAT|PLAUR|PROS1|PTGS2|TIMP1|VEGFA|VIL1|PBK|SERPINB11,-3.7,MyList
GO Biological Processes,19,GO:0006575,cellular modified amino acid metabolic process,19_GO:0008152 metabolic process,-6.4,5.9,7.4,30211,181,367,13,3.5,0.96,445|1800|2628|2952|6583|8659|10955|25774|53405|117247|129642|154141|221357,ASS1|DPEP1|GATM|GSTT1|SLC22A4|ALDH4A1|SERINC3|GSTT4|CLIC5|SLC16A10|MBOAT2|MBOAT1|GSTA5,-3.6,MyList
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-6.3,4.4,6.7,30211,321,367,17,4.6,1.1,290|302|652|1950|2034|2321|3606|3791|4854|4897|5743|7422|10855|11082|27329|113026|284340,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|IL18|KDR|NOTCH3|NRCAM|PTGS2|VEGFA|HPSE|ESM1|ANGPTL3|PLCD3|CXCL17,-3.5,MyList
GO Biological Processes,19,GO:0001822,kidney development,19_GO:0032502 developmental process,-6.2,4.6,6.8,30211,288,367,16,4.4,1.1,231|445|652|1910|2650|2674|4036|4643|4854|6385|7422|7481|26249|57216|80000|157506,AKR1B1|ASS1|BMP4|EDNRB|GCNT1|GFRA1|LRP2|MYO1E|NOTCH3|SDC4|VEGFA|WNT11|KLHL3|VANGL2|GREB1L|RDH10,-3.5,MyList
GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-6.2,4,6.5,30211,366,367,18,4.9,1.1,231|928|1910|2244|2810|3705|5055|5327|5329|5340|5627|6338|6340|6583|7422|7498|9076|10855,AKR1B1|CD9|EDNRB|FGB|SFN|ITPK1|SERPINB2|PLAT|PLAUR|PLG|PROS1|SCNN1B|SCNN1G|SLC22A4|VEGFA|XDH|CLDN1|HPSE,-3.4,MyList
GO Biological Processes,19,GO:0006650,glycerophospholipid metabolic process,19_GO:0008152 metabolic process,-6.2,4.5,6.7,30211,292,367,16,4.4,1.1,660|1040|3030|3707|5281|10955|55500|57110|84803|84879|85465|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|SERINC3|ETNK1|PLAAT1|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-3.4,MyList
GO Biological Processes,19,GO:0050801,ion homeostasis,19_GO:0065007 biological regulation,-6.2,2.9,6,30211,754,367,27,7.4,1.4,368|477|479|523|825|1232|1317|1356|1910|2034|3791|5172|5732|6338|6340|6549|6559|9498|10159|23075|23428|26249|65268|83959|84329|286097|338557,ABCC6|ATP1A2|ATP12A|ATP6V1A|CAPN3|CCR3|SLC31A1|CP|EDNRB|EPAS1|KDR|SLC26A4|PTGER2|SCNN1B|SCNN1G|SLC9A2|SLC12A3|SLC4A8|ATP6AP2|SWAP70|SLC7A8|KLHL3|WNK2|SLC4A11|HVCN1|MICU3|FFAR4,-3.4,MyList
GO Biological Processes,19,GO:0006820,anion transport,19_GO:0051179 localization,-6.1,3.7,6.3,30211,447,367,20,5.4,1.2,368|4036|4257|5172|6549|6559|9123|9498|10316|10955|23428|28965|51660|53405|59272|81579|83959|84879|153129|219855,ABCC6|LRP2|MGST1|SLC26A4|SLC9A2|SLC12A3|SLC16A3|SLC4A8|NMUR1|SERINC3|SLC7A8|SLC27A6|MPC1|CLIC5|ACE2|PLA2G12A|SLC4A11|MFSD2A|SLC38A9|SLC37A2,-3.4,MyList
KEGG Pathway,24,hsa05200,Pathways in cancer,,-6.1,3.4,6.2,30211,531,367,22,6,1.2,652|1439|1728|1910|1950|2034|2735|2952|3572|3910|4257|4286|4854|5292|5732|5743|7422|7481|8643|59345|221357|284217,BMP4|CSF2RB|NQO1|EDNRB|EGF|EPAS1|GLI1|GSTT1|IL6ST|LAMA4|MGST1|MITF|NOTCH3|PIM1|PTGER2|PTGS2|VEGFA|WNT11|PTCH2|GNB4|GSTA5|LAMA1,-3.4,MyList
KEGG Pathway,24,hsa00062,Fatty acid elongation,,-6.1,18,10,30211,27,367,6,1.6,0.66,3030|3032|51495|60481|79071|284486,HADHA|HADHB|HACD3|ELOVL5|ELOVL6|THEM5,-3.4,MyList
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-6.1,4.4,6.6,30211,297,367,16,4.4,1.1,231|445|652|1910|2650|2674|4036|4643|4854|6385|7422|7481|26249|57216|80000|157506,AKR1B1|ASS1|BMP4|EDNRB|GCNT1|GFRA1|LRP2|MYO1E|NOTCH3|SDC4|VEGFA|WNT11|KLHL3|VANGL2|GREB1L|RDH10,-3.4,MyList
GO Biological Processes,19,GO:0055067,monovalent inorganic cation homeostasis,19_GO:0065007 biological regulation,-6,6.6,7.3,30211,138,367,11,3,0.89,477|479|1910|5172|6338|6340|6549|6559|9498|10159|84329,ATP1A2|ATP12A|EDNRB|SLC26A4|SCNN1B|SCNN1G|SLC9A2|SLC12A3|SLC4A8|ATP6AP2|HVCN1,-3.3,MyList
WikiPathways,27,WP98,Prostaglandin synthesis and regulation,,-5.9,13,8.8,30211,45,367,7,1.9,0.71,231|302|306|1910|4286|5732|5743,AKR1B1|ANXA2|ANXA3|EDNRB|MITF|PTGER2|PTGS2,-3.3,MyList
GO Biological Processes,19,GO:0002064,epithelial cell development,19_GO:0032502 developmental process,-5.9,5.3,6.8,30211,201,367,13,3.5,0.96,231|652|1910|2355|2810|2889|3572|4643|6098|7430|9076|10855|54507,AKR1B1|BMP4|EDNRB|FOSL2|SFN|RAPGEF1|IL6ST|MYO1E|ROS1|EZR|CLDN1|HPSE|ADAMTSL4,-3.2,MyList
GO Biological Processes,19,GO:0104004,cellular response to environmental stimulus,19_GO:0050896 response to stimulus,-5.9,4.3,6.4,30211,307,367,16,4.4,1.1,159|231|477|672|825|1410|3694|5269|5743|6338|6340|7076|7481|55872|83959|84329,ADSS2|AKR1B1|ATP1A2|BRCA1|CAPN3|CRYAB|ITGB6|SERPINB6|PTGS2|SCNN1B|SCNN1G|TIMP1|WNT11|PBK|SLC4A11|HVCN1,-3.2,MyList
GO Biological Processes,19,GO:0071214,cellular response to abiotic stimulus,19_GO:0050896 response to stimulus,-5.9,4.3,6.4,30211,307,367,16,4.4,1.1,159|231|477|672|825|1410|3694|5269|5743|6338|6340|7076|7481|55872|83959|84329,ADSS2|AKR1B1|ATP1A2|BRCA1|CAPN3|CRYAB|ITGB6|SERPINB6|PTGS2|SCNN1B|SCNN1G|TIMP1|WNT11|PBK|SLC4A11|HVCN1,-3.2,MyList
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-5.9,3.5,6.1,30211,467,367,20,5.4,1.2,220|231|1543|1591|1610|1910|2034|3705|3707|4036|6338|6646|8277|8611|11001|27329|29968|116255|117247|157506,ALDH1A3|AKR1B1|CYP1A1|CYP24A1|DAO|EDNRB|EPAS1|ITPK1|ITPKB|LRP2|SCNN1B|SOAT1|TKTL1|PLPP1|SLC27A2|ANGPTL3|PSAT1|MOGAT1|SLC16A10|RDH10,-3.2,MyList
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-5.8,3.6,6.1,30211,430,367,19,5.2,1.2,928|1543|2244|2735|3694|3705|3791|4321|5055|5327|5329|5340|5627|6385|7076|7422|9076|10855|23767,CD9|CYP1A1|FGB|GLI1|ITGB6|ITPK1|KDR|MMP12|SERPINB2|PLAT|PLAUR|PLG|PROS1|SDC4|TIMP1|VEGFA|CLDN1|HPSE|FLRT3,-3.2,MyList
GO Biological Processes,19,GO:0042730,fibrinolysis,19_GO:0048519 negative regulation of biological process,-5.7,23,10,30211,18,367,5,1.4,0.61,2244|5055|5327|5340|5627,FGB|SERPINB2|PLAT|PLG|PROS1,-3.1,MyList
GO Biological Processes,19,GO:0006814,sodium ion transport,19_GO:0051179 localization,-5.7,5.5,6.7,30211,179,367,12,3.3,0.93,477|479|1910|6338|6340|6446|6549|6559|6583|9498|26249|83959,ATP1A2|ATP12A|EDNRB|SCNN1B|SCNN1G|SGK1|SLC9A2|SLC12A3|SLC22A4|SLC4A8|KLHL3|SLC4A11,-3,MyList
WikiPathways,27,WP2882,Nuclear receptors meta-pathway,,-5.6,4.1,6.2,30211,322,367,16,4.4,1.1,645|1543|1728|2040|2908|3484|4257|5055|5743|6286|7295|8553|8878|114134|140809|221357,BLVRB|CYP1A1|NQO1|STOM|NR3C1|IGFBP1|MGST1|SERPINB2|PTGS2|S100P|TXN|BHLHE40|SQSTM1|SLC2A13|SRXN1|GSTA5,-3,MyList
GO Biological Processes,19,GO:0090066,regulation of anatomical structure size,19_GO:0065007 biological regulation,-5.6,3.4,5.9,30211,487,367,20,5.4,1.2,477|822|1910|2006|2244|4897|5743|6338|6369|6559|7422|7429|7430|9168|23075|26999|57142|59272|80206|93663,ATP1A2|CAPG|EDNRB|ELN|FGB|NRCAM|PTGS2|SCNN1B|CCL24|SLC12A3|VEGFA|VIL1|EZR|TMSB10|SWAP70|CYFIP2|RTN4|ACE2|FHOD3|ARHGAP18,-3,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-5.6,3.5,5.9,30211,446,367,19,5.2,1.2,2|220|652|2034|2735|3218|3791|3880|5340|6491|7004|7005|7422|7481|51294|57216|113026|157506|282991,A2M|ALDH1A3|BMP4|EPAS1|GLI1|HOXB8|KDR|KRT19|PLG|STIL|TEAD4|TEAD3|VEGFA|WNT11|PCDH12|VANGL2|PLCD3|RDH10|BLOC1S2,-3,MyList
