"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002064","BP","GO:0002064","epithelial cell development","41/1639","213/18903",9.33981022663252e-07,0.000445348458766561,0.000376290163368171,"ROS1/AKR1B1/SFN/CLDN1/VEGFA/IL6ST/VSIG1/EPAS1/RAPGEF1/BAD/CXCR4/KDR/EZR/MYO1E/FRZB/F11R/HSD17B4/C1GALT1/RDX/PDPK1/NOTCH4/TIGAR/BMP6/CDH5/PKHD1/BMP4/SPINT2/SRC/IKBKB/RAPGEF3/SMO/FER/IHH/NOTCH2/COL15A1/FASN/ESR1/PGR/HPSE/ADAMTSL4/COL22A1",41
"GO:0071248","BP","GO:0071248","cellular response to metal ion","39/1639","198/18903",9.36238289299934e-07,0.000445348458766561,0.000376290163368171,"CAPN3/PTGS2/CYP1A1/NQO1/CLDN1/ECT2/DPEP1/PPIF/ADCY7/DLG2/CPNE8/MEF2A/GPLD1/CDH1/HVCN1/FBP1/PRNP/SLC40A1/TIGAR/HMOX1/JUNB/BMP6/NFE2L2/HSPA5/CAMK2D/NFATC4/SLC25A23/P2RX4/EGFR/ITPKB/TRPM2/STK39/SYT17/HFE/RYR1/SCN5A/ADCY8/SLC1A1/CPNE7",39
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","73/1639","475/18903",1.02835387843351e-06,0.000445348458766561,0.000376290163368171,"ACSM4/NUDT19/ELOVL6/ATP6V1A/ENO4/XDH/ADK/NUDT5/PANK1/THEM5/ADSS2/ACOT7/BAD/ADCY7/TKT/DLG2/ENO3/UCK2/ELOVL5/PDE4B/NT5C2/HSD17B4/BPNT1/FBP1/PID1/CTNS/ACSS2/HMGCR/PMVK/TIGAR/AMPD2/ATP1B1/P2RX7/PDK4/ELOVL1/HACD2/ACLY/RHOQ/SUCLA2/IMPDH2/HINT1/SUCLG2/ACOT9/UMPS/OPA1/SLC25A13/ACOT8/ADCY6/PYGL/NPR2/AADAT/PFAS/PINK1/PFKP/CROT/EP300/NUPR1/RAB23/SLC2A6/PDE4A/ACSBG1/AASS/ZBTB7A/ADCY8/GPD1/ACACB/ENPP1/BEND3/IMPDH1/ATP1A2/MLXIPL/ABCC6/HK3",73
"GO:0046486","BP","GO:0046486","glycerolipid metabolic process","64/1639","399/18903",1.08188247379795e-06,0.000445348458766561,0.000376290163368171,"APOBEC1/GAL3ST1/BMX/SLC22A4/SLC44A5/MFSD2A/GPAT3/ETNK1/SELENOI/MOGAT1/MBOAT1/THEM5/MBOAT2/SERINC2/PIGF/GDPD1/PLA2G3/HADHA/PLA2G5/ABCA3/ENPP2/MGLL/ABHD2/GPLD1/LPCAT3/BPNT1/ABHD3/PGAP3/GK5/SACM1L/INPP5B/PLA2G4A/PIGS/IPMK/AJUBA/ABHD12/ABHD5/PHB2/SERINC3/CAPN2/PIP5K1A/AGPAT3/PISD/SOCS6/DGKA/PCK2/TTC7B/GPCPD1/SYNJ2/ITPKB/LPIN2/DGKE/DGKZ/SREBF1/PTDSS1/LCLAT1/DAGLA/GPD1/CDS1/PLCB2/ETNK2/DGKG/CWH43/PLCD4",64
"GO:0140014","BP","GO:0140014","mitotic nuclear division","55/1639","325/18903",1.13628625301895e-06,0.000445348458766561,0.000376290163368171,"EGF/ANLN/DLGAP5/KIF11/KIF2C/DSCC1/BUB1/NCAPH/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/TPX2/AURKB/BIRC5/CENPF/CDCA2/KIF4A/CENPK/CDC20/KIF18A/ESPL1/ESCO2/KIF20B/KIF22/DUSP1/RGCC/AURKA/CDCA8/NCAPG2/KIF15/SPC24/FBXO5/SGO2/RAB11A/CCDC61/BMP4/GEN1/ANAPC5/PHB2/NSL1/SMC4/CHMP4B/DRG1/CDC16/POGZ/TOM1L2/CDC14A/ARID1B/MAP10/SMARCD1/ARID1A/KIFC2",55
"GO:0000819","BP","GO:0000819","sister chromatid segregation","44/1639","239/18903",1.34946147664986e-06,0.000495842751326533,0.000418954520283598,"DLGAP5/KIF11/KIF2C/DSCC1/BUB1/NCAPH/TOP2A/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/AURKB/BIRC5/CENPF/KIF4A/CENPK/CDC20/KIF18A/ESPL1/ESCO2/KIF22/DUSP1/CDCA8/NCAPG2/SPC24/FBXO5/SGO2/RAB11A/GEN1/ANAPC5/PHB2/NSL1/SMC4/CHMP4B/CDC16/POGZ/ARID1B/MAP10/SMARCD1/ARID1A/DDX11/REC8",44
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","69/1639","447/18903",1.72426206190078e-06,0.000596290391877335,0.000503826171523826,"ACSM4/NUDT19/ELOVL6/ATP6V1A/ENO4/XDH/ADK/NUDT5/PANK1/THEM5/ADSS2/ACOT7/BAD/ADCY7/DLG2/ENO3/ELOVL5/PDE4B/NT5C2/HSD17B4/BPNT1/FBP1/PID1/CTNS/ACSS2/HMGCR/PMVK/TIGAR/AMPD2/ATP1B1/P2RX7/PDK4/ELOVL1/HACD2/ACLY/RHOQ/SUCLA2/IMPDH2/HINT1/SUCLG2/ACOT9/OPA1/SLC25A13/ACOT8/ADCY6/NPR2/AADAT/PFAS/PINK1/PFKP/CROT/EP300/NUPR1/RAB23/SLC2A6/PDE4A/ACSBG1/AASS/ZBTB7A/ADCY8/GPD1/ACACB/ENPP1/BEND3/IMPDH1/ATP1A2/MLXIPL/ABCC6/HK3",69
"GO:0006644","BP","GO:0006644","phospholipid metabolic process","62/1639","389/18903",1.9703171896663e-06,0.000614035972109466,0.000518820019943343,"BMX/ANGPTL3/SLC44A5/MFSD2A/GPAT3/ETNK1/SELENOI/PLPP1/MBOAT1/THEM5/MBOAT2/SERINC2/SRD5A3/PIGF/GDPD1/PLA2G3/HADHA/PLA2G5/ABCA3/ENPP2/PLA2G12A/GPLD1/LPCAT3/BPNT1/ABHD3/PGAP3/SACM1L/INPP5B/PMVK/PLA2G4A/PIGS/CHP1/IPMK/AJUBA/DHDDS/ABHD12/ABHD5/PHB2/SERINC3/CAPN2/PIP5K1A/AGPAT3/PISD/SOCS6/PROCA1/DGKA/TTC7B/GPCPD1/SYNJ2/ITPKB/DGKE/DGKZ/PTDSS1/SGPP1/LCLAT1/PLPPR4/CDS1/PLCB2/ETNK2/DGKG/CWH43/PLCD4",62
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","71/1639","466/18903",1.98446733629526e-06,0.000614035972109466,0.000518820019943343,"ACSM4/NUDT19/ELOVL6/ATP6V1A/ENO4/XDH/ADK/NUDT5/PANK1/THEM5/ADSS2/ACOT7/BAD/ADCY7/DLG2/ENO3/UCK2/ELOVL5/PDE4B/NT5C2/HSD17B4/BPNT1/FBP1/PID1/CTNS/ACSS2/HMGCR/PMVK/TIGAR/AMPD2/ATP1B1/P2RX7/PDK4/ELOVL1/HACD2/ACLY/RHOQ/SUCLA2/IMPDH2/HINT1/SUCLG2/ACOT9/UMPS/OPA1/SLC25A13/ACOT8/ADCY6/NPR2/AADAT/PFAS/PINK1/PFKP/CROT/EP300/NUPR1/RAB23/SLC2A6/PDE4A/ACSBG1/AASS/ZBTB7A/ADCY8/GPD1/ACACB/ENPP1/BEND3/IMPDH1/ATP1A2/MLXIPL/ABCC6/HK3",71
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","44/1639","243/18903",2.1390493108817e-06,0.000628773544933675,0.000531272299897407,"MAT1A/GLDC/NUDT19/SLC27A2/OAT/MFSD2A/HADHB/ABAT/HPD/DAO/DPEP1/HADHA/DCXR/GCAT/RENBP/SCP2/FAH/ABHD2/SHMT2/HSD17B4/PGD/ABHD3/ECHS1/HNMT/GOT1/KYAT3/ECI2/HMGCL/ACADVL/GLUL/HMGCLL1/AKR1A1/ACOT8/ATP2B4/PCK2/BCAT2/AADAT/ALDH4A1/CROT/LPIN2/TYSND1/AASS/ACACB/SARDH",44
"GO:0006650","BP","GO:0006650","glycerophospholipid metabolic process","52/1639","311/18903",3.17781889272549e-06,0.000889637965253961,0.000751685581692813,"BMX/SLC44A5/MFSD2A/GPAT3/ETNK1/SELENOI/MBOAT1/THEM5/MBOAT2/SERINC2/PIGF/GDPD1/PLA2G3/HADHA/PLA2G5/ABCA3/ENPP2/GPLD1/LPCAT3/BPNT1/ABHD3/PGAP3/SACM1L/INPP5B/PLA2G4A/PIGS/IPMK/AJUBA/ABHD12/ABHD5/PHB2/SERINC3/CAPN2/PIP5K1A/AGPAT3/PISD/SOCS6/DGKA/TTC7B/GPCPD1/SYNJ2/ITPKB/DGKE/DGKZ/PTDSS1/LCLAT1/CDS1/PLCB2/ETNK2/DGKG/CWH43/PLCD4",52
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","71/1639","476/18903",4.28064625286146e-06,0.00114390542366239,0.000966524864461877,"ACSM4/NUDT19/DNPH1/ELOVL6/ATP6V1A/ENO4/XDH/ADK/NUDT5/PANK1/THEM5/ADSS2/ACOT7/BAD/ADCY7/DLG2/ENO3/ELOVL5/PDE4B/NT5C2/HSD17B4/BPNT1/FBP1/PID1/CTNS/ACSS2/HMGCR/PMVK/TIGAR/AMPD2/ATP1B1/P2RX7/PDK4/ELOVL1/HACD2/ACLY/RHOQ/SUCLA2/IMPDH2/HINT1/SUCLG2/ACOT9/OPA1/SLC25A13/ACOT8/ADCY6/NPR2/AADAT/PFAS/PINK1/PFKP/CROT/EP300/NUPR1/RAB23/SLC2A6/PDE4A/ACSBG1/AASS/ZBTB7A/ADCY8/GPD1/ACACB/ENPP1/BEND3/ADORA2B/IMPDH1/ATP1A2/MLXIPL/ABCC6/HK3",71
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","62/1639","400/18903",4.99082735414239e-06,0.00127569887021753,0.00107788166060402,"CYP24A1/ACSM4/PTGS2/CYP1A1/AKR1B1/NUDT19/SLC27A2/ANGPTL3/MFSD2A/FA2H/ELOVL6/SLC45A3/FMO2/HADHB/THEM5/SLC27A6/BRCA1/ACOT7/PLA2G3/HADHA/PLA2G5/PTGIS/ELOVL5/MGLL/SCP2/PPARG/ABHD2/HSD17B4/ABHD3/ECHS1/POR/GGT5/ECI2/PLA2G4A/ACADVL/PDK4/ADH4/ELOVL1/HACD2/MSMO1/ACLY/ABHD12/ALDH3A2/ABHD5/PRKAB2/CYP4F8/ACOT8/PCK2/CROT/AACS/LPIN2/APPL2/SREBF1/ACSBG1/CYP2J2/TYSND1/THNSL2/FASN/DAGLA/ACACB/CYP2S1/MLXIPL",62
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","38/1639","205/18903",5.86234400767341e-06,0.00138464006803213,0.00116992980923064,"MAT1A/GLDC/CTH/OAT/ASS1/PHGDH/PSAT1/HPD/ADSS2/DAO/DPEP1/SCLY/GCAT/FAH/SHMT2/PCBD2/TST/GCLC/GOT1/KYAT3/HMGCL/GLUL/HMGCLL1/ASNSD1/SERINC3/SLC25A13/ATP2B4/BCAT2/AADAT/PFAS/ALDH4A1/PLOD2/SLC39A8/THNSL2/AASS/RIMKLB/SMS/SARDH",38
"GO:0007015","BP","GO:0007015","actin filament organization","68/1639","454/18903",5.88807649273741e-06,0.00138464006803213,0.00116992980923064,"WNT11/VIL1/ACTA1/FHOD3/TACR1/MYO1D/PLS3/DIAPH3/PAK3/ID1/TACSTD2/KASH5/CORO2B/ELN/MYO19/TMSB10/SWAP70/NEB/SPTBN2/PDLIM1/RGCC/EZR/MYO1E/MCU/FHDC1/SEMA5A/SDC4/SPTBN5/ARHGAP18/MYO5A/F11R/ARPC1B/STMN1/RDX/RAC3/GAS2L3/NEDD9/TNFAIP1/MYO5C/TGFB3/HMCN1/ESAM/SRC/CD47/CARMIL1/ARPC3/AP1AR/CD2AP/RAPGEF3/SAMD14/MICAL3/FER/CRACD/EVL/CYFIP1/IQGAP2/FMN1/PLS1/PPP1R9A/SLC9A1/FAM171A1/CYFIP2/MYO1H/GDPD2/MARCKSL1/MYO1G/ZBED3/CCL24",68
"GO:0000280","BP","GO:0000280","nuclear division","71/1639","481/18903",6.20056327837144e-06,0.00140204275052099,0.00118463393160465,"EGF/ANLN/DLGAP5/KIF11/FANCA/KIF2C/DSCC1/BUB1/NCAPH/ASPM/MASTL/TOP2A/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/TPX2/CCNB2/AURKB/BIRC5/CENPF/CDCA2/KIF4A/CENPK/CDC25B/CDC20/KASH5/KIF18A/ESPL1/ESCO2/KIF20B/KIF22/FANCM/TEX15/DUSP1/BRIP1/RNF212B/FANCD2/RGCC/AURKA/CDCA8/NCAPG2/KIF15/NDC1/SPC24/FBXO5/SGO2/RAB11A/CCDC61/BMP4/GEN1/ANAPC5/PHB2/NSL1/SMC4/CHMP4B/DRG1/CDC16/POGZ/TOM1L2/CDC14A/ARID1B/MAP10/SMARCD1/ARID1A/KIFC2/HFM1/MSX1/REC8",71
"GO:1905820","BP","GO:1905820","positive regulation of chromosome separation","11/1639","27/18903",7.09931183861149e-06,0.00154580941848878,0.00130610731253051,"DLGAP5/NCAPH/NCAPG/AURKB/BIRC5/ESPL1/CDCA8/NCAPG2/ANAPC5/SMC4/CDC16",11
"GO:0035725","BP","GO:0035725","sodium ion transmembrane transport","35/1639","184/18903",7.49021516715215e-06,0.00157267767741741,0.00132880922457861,"ATP12A/SCNN1B/SLC12A3/SCNN1G/GLRX/SLC4A11/SLC9A2/PKD2L1/SLC4A8/KCNQ1/SLC6A14/TESC/ATP1B1/SLC3A2/CHP1/SLC20A1/CAMK2D/ATP2B4/SLC20A2/SLC9A3R1/TRPM2/STK39/WNK1/SLC9A1/SCN5A/SLC6A9/CACNA1G/ATP4A/SLC24A5/HECW1/ATP1A2/GPD1L/WNK2/HCN4/ASIC2",35
"GO:0006865","BP","GO:0006865","amino acid transport","30/1639","147/18903",7.81658821046456e-06,0.00158461110652832,0.00133889218748393,"SLC38A11/SLC22A4/ACE2/SLC16A10/XK/ABAT/SLC38A9/SLC6A14/SLC7A14/SLC7A8/RGS2/CTNS/SFXN4/SLC3A2/P2RX7/SFXN1/SERINC3/SLC25A13/SLC25A38/LRRC8A/SLC9A3R1/LRRC8E/SFXN5/SLC7A6/SLC7A9/SLC6A9/SLC7A4/SV2A/SLC1A1/ATP1A2",30
"GO:0048732","BP","GO:0048732","gland development","66/1639","441/18903",8.2569001336298e-06,0.00161807719618699,0.0013671688326526,"EGF/WNT11/CYP1A1/CLDN1/SERPINB5/FA2H/PCSK1/LAMA1/ASS1/XDH/CCNB2/VEGFA/IQGAP3/WLS/ERBB4/CADM1/ALDH1A3/ELF3/AURKA/ID4/RTN4/MAP2K1/FRZB/CLCN2/PTCD2/CDH1/ACO2/NOTCH4/HMOX1/PLXND1/CITED2/TGFB3/SLC29A1/BMP4/SRC/NR3C1/MMP2/PHB2/UMPS/IGSF3/SRSF5/FKBP4/PCK2/SMO/SLC9A3R1/PBX1/PHF2/EGFR/PLXNA1/NTN1/IHH/NOTCH2/TNFRSF11A/NCOR2/FASN/MSX1/RREB1/ESR1/NTN4/SALL1/SLC46A2/PGR/GLI2/GLI1/NKX3-1/ATP2C2",66
"GO:1903829","BP","GO:1903829","positive regulation of protein localization","67/1639","451/18903",9.06652112185622e-06,0.00171942186049654,0.00145279840998436,"FGG/EGF/FGB/PTGS2/VIL1/SFN/PCSK1/NDC80/ECT2/ABAT/WLS/ERBB4/CORO2B/KIF20B/BAD/RAB29/WWTR1/TFRC/EZR/MCU/RTN4/PDCD5/PPARG/GPLD1/C2CD5/CDH1/ITGA3/RDX/PDPK1/ADAM9/PRNP/LIMK2/NEDD9/EMD/P2RX7/GLUL/BMP6/SQSTM1/TGFB3/CHP1/ABHD17B/CCT3/SRC/CEP290/TOMM70/CCT8/CD2AP/IPO5/RAPGEF3/ATP2B4/LRRC8A/PCK2/SMO/PINK1/EGFR/AACS/TRPM2/MTCL1/ATG13/PLS1/MARK4/TERT/ADCY8/STAC/FRMD4A/GPD1L/TMEM30B",67
"GO:0030048","BP","GO:0030048","actin filament-based movement","28/1639","134/18903",9.73317490682254e-06,0.0017881667274128,0.00151088330214788,"VIL1/MYO1D/KCNQ1/MYO19/MYO1E/MYO5A/PDE4B/PDPN/MYO5C/DSP/CAMK2D/NUP155/CACNB2/DSG2/CACNA1C/KCND3/SLC9A1/SCN5A/CACNA1D/CACNA1G/DSC2/MYO1H/ATP1A2/KCNE4/GPD1L/MYO1G/WIPF3/HCN4",28
"GO:0098739","BP","GO:0098739","import across plasma membrane","37/1639","202/18903",1.02474136787981e-05,0.00182559227326225,0.00154250542744014,"ATP12A/SLC15A1/SCNN1B/SLC22A4/SLC12A3/ACE2/SCNN1G/SLC9A2/KCNQ1/SLC6A14/SLC7A8/RGS2/SLC39A6/PRNP/ATP1B1/SLC3A2/SLC39A14/ATP2B4/LRRC8A/SLC9A3R1/LRRC8E/CACNA1C/TRPM2/SLC39A8/WNK1/SLC9A1/SLC5A6/HFE/CACNA1D/SLC6A9/ATP4A/SLC1A1/ATP1A2/WNK2/HCN4/LRP2/SLC39A4",37
"GO:0015849","BP","GO:0015849","organic acid transport","52/1639","324/18903",1.0575151111403e-05,0.00182856804070407,0.00154501975525421,"SLC26A4/SLC38A11/SLC22A4/ACE2/SLC27A2/MPC1/MFSD2A/SLCO1A2/SLC16A10/XK/ABAT/SLC5A8/SLC38A9/SLC27A6/SLC6A14/SLC7A14/PLA2G3/EMB/PLA2G5/SLC7A8/RGS2/PLA2G12A/PPARG/CTNS/SFXN4/SLC3A2/PLA2G4A/P2RX7/SLC25A30/SFXN1/SERINC3/SLC25A13/SLC25A38/P2RX4/LRRC8A/PROCA1/SLC9A3R1/CROT/LRRC8E/SFXN5/SLC7A6/TNFRSF11A/SLC5A6/SLC7A9/SLC6A9/SLC7A4/SV2A/SLC1A1/SLC29A4/ATP1A2/SLC16A3/LRP2",52
"GO:0001894","BP","GO:0001894","tissue homeostasis","46/1639","275/18903",1.13816935778866e-05,0.00191179932983986,0.00161534472162547,"LCN1/CRB1/PTGS2/ITGB6/CLDN1/MFSD2A/COMP/VEGFA/VSIG1/EPAS1/ABCA3/WWTR1/ILDR2/TFRC/KDR/SLC22A5/BARD1/F11R/CLCN3/RAC3/P2RX7/PDK4/CDH5/ESAM/SRC/FH/MKS1/CHMP4B/LAMA2/P2RX4/SMO/TRIM32/CUBN/IHH/CRACD/STK39/SLC39A8/TNFRSF11A/PRKCA/UBASH3B/IL20RA/CDH23/NCDN/SLC1A1/PLEKHM1/PIGR",46
"GO:0006260","BP","GO:0006260","DNA replication","47/1639","286/18903",1.47930109145231e-05,0.00241578086573558,0.00204117597969691,"EGF/DSCC1/RRM2/ORC1/CDC45/DTL/MCM2/MCM10/CCNA2/GINS3/POLE/BRCA1/ESCO2/DNA2/MCM6/ORC6/FAM111A/FANCM/PRIMPOL/POLQ/PIF1/TIMELESS/GMNN/BARD1/CHTF18/S100A11/FBXO5/DNAJC2/BCAR3/ATAD5/TNFAIP1/POLG2/RFC4/RRM1/GEN1/TOPBP1/GTPBP4/PNKP/EGFR/INO80D/JADE2/WIZ/NFIX/DDX11/GLI2/GLI1/AICDA",47
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","61/1639","406/18903",1.58966707830637e-05,0.00252585209550355,0.00213417893101785,"WNT11/VIL1/FHOD3/ECT2/TACR1/IQGAP3/PAK3/ID1/TACSTD2/CORO2B/ELN/TMSB10/SWAP70/NEB/SPTBN2/RGCC/SEMA5A/SDC4/SPTBN5/ARHGAP18/F11R/PDE4B/ARPC1B/STMN1/PDPN/RDX/RAC3/NEDD9/TEK/TGFB3/ESAM/RHOQ/CD47/DSP/CARMIL1/ARPC3/CAMK2D/AP1AR/CD2AP/RAPGEF3/AKAP13/FER/DSG2/CACNA1C/TRPM2/CRACD/EVL/CYFIP1/IQGAP2/NOTCH2/FMN1/SLC9A1/SCN5A/SMIM22/DSC2/ARHGDIB/ARHGEF19/CYFIP2/ATP1A2/HCN4/CCL24",61
