Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-11,4.4,9.3,30211,326,680,32,4.7,0.81,928|1606|1608|1839|2149|2150|2151|3053|3694|3827|4217|4321|5055|5154|5265|5270|5291|5467|5493|6382|6385|7035|7039|7099|7476|8837|9076|10451|22875|23671|79625|81029,CD9|DGKA|DGKG|HBEGF|F2R|F2RL1|F2RL2|SERPIND1|ITGB6|KNG1|MAP3K5|MMP12|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PPARD|PPL|SDC1|SDC4|TFPI|TGFA|TLR4|WNT7A|CFLAR|CLDN1|VAV3|ENPP4|TMEFF2|NDNF|WNT5B,-8.1,MyList
GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-11,3.3,8.5,30211,596,680,44,6.5,0.94,306|972|1012|1435|1839|1906|2039|2149|2150|2321|2651|2660|2852|2896|3925|3929|4739|5063|5154|5291|5578|6239|6870|7057|7099|7429|7476|9076|9693|9750|23224|27347|55612|56920|57402|65125|79846|80005|80310|81029|153769|284340|284403|375611,ANXA3|CD74|CDH13|CSF1|HBEGF|EDN1|DMTN|F2R|F2RL1|FLT1|GCNT2|MSTN|GPER1|GRN|STMN1|LBP|NEDD9|PAK3|PDGFA|PIK3CB|PRKCA|RREB1|TACR3|THBS1|TLR4|VIL1|WNT7A|CLDN1|RAPGEF2|RIPOR2|SYNE2|STK39|FERMT1|SEMA3G|S100A14|WNK1|CFAP69|DOCK5|PDGFD|WNT5B|SH3RF2|CXCL17|WDR62|SLC26A5,-7.9,MyList
GO Biological Processes,19,GO:0030003,cellular cation homeostasis,19_GO:0065007 biological regulation,-11,3.2,8.5,30211,620,680,45,6.6,0.95,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9633|9914|23312|28982|53373|55283|55503|55630|57181|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-7.9,MyList
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-11,3.3,8.4,30211,584,680,43,6.3,0.93,306|972|1012|1435|1839|1906|2039|2149|2150|2321|2651|2660|2852|2896|3929|4739|5063|5154|5291|5578|6239|6870|7057|7099|7429|7476|9076|9693|9750|23224|27347|55612|56920|57402|65125|79846|80005|80310|81029|153769|284340|284403|375611,ANXA3|CD74|CDH13|CSF1|HBEGF|EDN1|DMTN|F2R|F2RL1|FLT1|GCNT2|MSTN|GPER1|GRN|LBP|NEDD9|PAK3|PDGFA|PIK3CB|PRKCA|RREB1|TACR3|THBS1|TLR4|VIL1|WNT7A|CLDN1|RAPGEF2|RIPOR2|SYNE2|STK39|FERMT1|SEMA3G|S100A14|WNK1|CFAP69|DOCK5|PDGFD|WNT5B|SH3RF2|CXCL17|WDR62|SLC26A5,-7.7,MyList
GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-11,3.2,8.3,30211,611,680,44,6.5,0.94,40|392|475|476|489|540|1813|1906|1910|2149|2823|3736|4036|5027|6328|6335|6340|6520|6533|6536|6584|6833|6947|8671|8884|9914|9992|10008|10267|10316|10568|28982|53373|54407|55283|55503|55630|57181|80036|84102|84679|84766|284111|286097,ASIC2|ARHGAP1|ATOX1|ATP1A1|ATP2A3|ATP7B|DRD2|EDN1|EDNRB|F2R|GPM6A|KCNA1|LRP2|P2RX7|SCN3A|SCN9A|SCNN1G|SLC3A2|SLC6A6|SLC6A9|SLC22A5|ABCC8|TCN1|SLC4A4|SLC5A6|ATP2C2|KCNE2|KCNE3|RAMP1|NMUR1|SLC34A2|FLVCR1|TPCN1|SLC38A2|MCOLN3|TRPV6|SLC39A4|SLC39A10|TRPM3|SLC41A2|SLC9A7|CRACR2A|SLC13A5|MICU3,-7.6,MyList
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-11,3.1,8.3,30211,639,680,45,6.6,0.95,1136|1272|1608|1942|1948|2039|2150|2660|2823|2896|5027|5063|5274|5357|5793|5800|6239|6423|7429|7476|7504|8837|9456|9693|9750|9842|9863|10178|10677|22943|23191|23224|26037|51057|56920|57471|79625|81618|84879|139818|146760|150696|170690|389658|100506658,CHRNA3|CNTN1|DGKG|EFNA1|EFNB2|DMTN|F2RL1|MSTN|GPM6A|GRN|P2RX7|PAK3|SERPINI1|PLS1|PTPRG|PTPRO|RREB1|SFRP2|VIL1|WNT7A|XK|CFLAR|HOMER1|RAPGEF2|RIPOR2|PLEKHM1|MAGI2|TENM1|AVIL|DKK1|CYFIP1|SYNE2|SIPA1L1|WDPCP|SEMA3G|ERMN|NDNF|ITM2C|MFSD2A|DOCK11|RTN4RL1|PROM2|ADAMTS16|ALKAL1|OCLN,-7.6,MyList
GO Biological Processes,19,GO:0061041,regulation of wound healing,19_GO:0050896 response to stimulus,-11,6.7,10,30211,133,680,20,2.9,0.65,18|928|1839|1906|2039|2149|2150|3827|5055|5154|5270|6239|6833|7035|7057|7429|9076|22875|55612|100506658,ABAT|CD9|HBEGF|EDN1|DMTN|F2R|F2RL1|KNG1|SERPINB2|PDGFA|SERPINE2|RREB1|ABCC8|TFPI|THBS1|VIL1|CLDN1|ENPP4|FERMT1|OCLN,-7.6,MyList
GO Biological Processes,19,GO:1903034,regulation of response to wounding,19_GO:0050896 response to stimulus,-11,5.9,9.6,30211,166,680,22,3.2,0.68,18|928|1839|1906|2039|2149|2150|2896|3827|5055|5154|5270|6239|6833|7035|7057|7429|9076|22875|55612|146760|100506658,ABAT|CD9|HBEGF|EDN1|DMTN|F2R|F2RL1|GRN|KNG1|SERPINB2|PDGFA|SERPINE2|RREB1|ABCC8|TFPI|THBS1|VIL1|CLDN1|ENPP4|FERMT1|RTN4RL1|OCLN,-7.5,MyList
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-11,3.2,8.2,30211,599,680,43,6.3,0.93,306|972|1012|1435|1839|1906|2039|2149|2150|2321|2651|2660|2852|2896|3929|4739|5063|5154|5291|5578|6239|6870|7057|7099|7429|7476|9076|9693|9750|23224|27347|55612|56920|57402|65125|79846|80005|80310|81029|153769|284340|284403|375611,ANXA3|CD74|CDH13|CSF1|HBEGF|EDN1|DMTN|F2R|F2RL1|FLT1|GCNT2|MSTN|GPER1|GRN|LBP|NEDD9|PAK3|PDGFA|PIK3CB|PRKCA|RREB1|TACR3|THBS1|TLR4|VIL1|WNT7A|CLDN1|RAPGEF2|RIPOR2|SYNE2|STK39|FERMT1|SEMA3G|S100A14|WNK1|CFAP69|DOCK5|PDGFD|WNT5B|SH3RF2|CXCL17|WDR62|SLC26A5,-7.4,MyList
GO Biological Processes,19,GO:0002064,epithelial cell development,19_GO:0032502 developmental process,-10,5.3,9.3,30211,201,680,24,3.5,0.71,182|231|1910|2150|2317|5144|5314|5357|6382|6647|6781|7476|9076|9693|9863|23022|23086|25803|51057|54507|79983|81029|153562|169044,JAG1|AKR1B1|EDNRB|F2RL1|FLNB|PDE4D|PKHD1|PLS1|SDC1|SOD1|STC1|WNT7A|CLDN1|RAPGEF2|MAGI2|PALLD|EXPH5|SPDEF|WDPCP|ADAMTSL4|POF1B|WNT5B|MARVELD2|COL22A1,-7.4,MyList
GO Biological Processes,19,GO:0010035,response to inorganic substance,19_GO:0050896 response to stimulus,-10,3.4,8.2,30211,513,680,39,5.7,0.89,18|445|540|664|929|1663|1813|1906|1910|2039|2539|2890|3625|3736|4129|4217|4490|4540|5027|5076|5154|6382|6647|6833|7057|8437|8837|9076|9456|9633|10105|10768|23236|54407|55503|80310|90019|284111|375611,ABAT|ASS1|ATP7B|BNIP3|CD14|DDX11|DRD2|EDN1|EDNRB|DMTN|G6PD|GRIA1|INHBB|KCNA1|MAOB|MAP3K5|MT1B|ND5|P2RX7|PAX2|PDGFA|SDC1|SOD1|ABCC8|THBS1|RASAL1|CFLAR|CLDN1|HOMER1|TESMIN|PPIF|AHCYL1|PLCB1|SLC38A2|TRPV6|PDGFD|SYT8|SLC13A5|SLC26A5,-7.3,MyList
GO Biological Processes,19,GO:0043269,regulation of ion transport,19_GO:0051179 localization,-10,3,8,30211,685,680,46,6.8,0.96,18|40|134|476|1080|1136|1272|1813|1906|2149|2539|2852|3736|4129|5027|5144|5174|5187|5270|5321|5593|5774|6328|6335|6536|6769|6781|6833|9456|9914|9992|10008|10105|10768|23171|27347|53373|57628|65125|65268|79073|81671|81832|84766|90019|375611,ABAT|ASIC2|ADORA1|ATP1A1|CFTR|CHRNA3|CNTN1|DRD2|EDN1|F2R|G6PD|GPER1|KCNA1|MAOB|P2RX7|PDE4D|PDZK1|PER1|SERPINE2|PLA2G4A|PRKG2|PTPN3|SCN3A|SCN9A|SLC6A9|STAC|STC1|ABCC8|HOMER1|ATP2C2|KCNE2|KCNE3|PPIF|AHCYL1|GPD1L|STK39|TPCN1|DPP10|WNK1|WNK2|TMEM109|VMP1|NETO1|CRACR2A|SYT8|SLC26A5,-7.2,MyList
GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-10,3.1,8,30211,637,680,44,6.5,0.94,40|476|489|540|1080|1813|1906|1910|2149|2823|3736|4519|4540|5027|6328|6335|6340|6520|6533|6536|6565|6833|6947|8671|8884|9213|9914|9992|10008|10568|51458|53373|55244|55283|55503|55630|57181|80036|84102|84679|115111|203859|286097|375611,ASIC2|ATP1A1|ATP2A3|ATP7B|CFTR|DRD2|EDN1|EDNRB|F2R|GPM6A|KCNA1|CYTB|ND5|P2RX7|SCN3A|SCN9A|SCNN1G|SLC3A2|SLC6A6|SLC6A9|SLC15A2|ABCC8|TCN1|SLC4A4|SLC5A6|XPR1|ATP2C2|KCNE2|KCNE3|SLC34A2|RHCG|TPCN1|SLC47A1|MCOLN3|TRPV6|SLC39A4|SLC39A10|TRPM3|SLC41A2|SLC9A7|SLC26A7|ANO5|MICU3|SLC26A5,-7.2,MyList
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-10,2.9,7.8,30211,742,680,48,7.1,0.98,306|445|476|717|1514|1906|1910|2650|2660|2852|2888|3484|3625|3880|4036|4129|4824|5167|5467|5732|6272|6382|6430|6513|6751|6781|6833|7035|7057|7476|8549|8837|9076|9663|10267|10568|10768|23054|23191|23236|54206|55198|55366|85004|85315|130399|133522|375611,ANXA3|ASS1|ATP1A1|C2|CTSL|EDN1|EDNRB|GCNT1|MSTN|GPER1|GRB14|IGFBP1|INHBB|KRT19|LRP2|MAOB|NKX3-1|ENPP1|PPARD|PTGER2|SORT1|SDC1|SRSF5|SLC2A1|SSTR1|STC1|ABCC8|TFPI|THBS1|WNT7A|LGR5|CFLAR|CLDN1|LPIN2|RAMP1|SLC34A2|AHCYL1|NCOA6|CYFIP1|PLCB1|ERRFI1|APPL2|LGR4|RERG|PAQR8|ACVR1C|PPARGC1B|SLC26A5,-7.1,MyList
GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-10,3.1,7.9,30211,622,680,43,6.3,0.93,1136|1272|1608|1942|1948|2039|2150|2660|2823|2896|5027|5063|5274|5357|5793|5800|6239|6423|7429|7476|7504|8837|9456|9693|9750|9842|9863|10178|10677|22943|23191|23224|26037|51057|56920|79625|81618|84879|139818|146760|170690|389658|100506658,CHRNA3|CNTN1|DGKG|EFNA1|EFNB2|DMTN|F2RL1|MSTN|GPM6A|GRN|P2RX7|PAK3|SERPINI1|PLS1|PTPRG|PTPRO|RREB1|SFRP2|VIL1|WNT7A|XK|CFLAR|HOMER1|RAPGEF2|RIPOR2|PLEKHM1|MAGI2|TENM1|AVIL|DKK1|CYFIP1|SYNE2|SIPA1L1|WDPCP|SEMA3G|NDNF|ITM2C|MFSD2A|DOCK11|RTN4RL1|ADAMTS16|ALKAL1|OCLN,-7,MyList
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,,-9.8,2.9,7.7,30211,729,680,47,6.9,0.97,40|476|489|540|1080|1831|2039|5575|6340|6509|6513|6520|6533|6536|6565|6571|6584|8671|8884|9123|9388|9914|10568|11136|23120|28982|51458|53373|54407|54831|55244|55283|55503|55630|57181|65125|65268|79139|80036|80736|84102|84239|84679|115111|203859|284111|286097,ASIC2|ATP1A1|ATP2A3|ATP7B|CFTR|TSC22D3|DMTN|PRKAR1B|SCNN1G|SLC1A4|SLC2A1|SLC3A2|SLC6A6|SLC6A9|SLC15A2|SLC18A2|SLC22A5|SLC4A4|SLC5A6|SLC16A3|LIPG|ATP2C2|SLC34A2|SLC7A9|ATP10B|FLVCR1|RHCG|TPCN1|SLC38A2|BEST2|SLC47A1|MCOLN3|TRPV6|SLC39A4|SLC39A10|WNK1|WNK2|DERL1|TRPM3|SLC44A4|SLC41A2|ATP13A4|SLC9A7|SLC26A7|ANO5|SLC13A5|MICU3,-6.9,MyList
GO Biological Processes,19,GO:0043270,positive regulation of ion transport,19_GO:0051179 localization,-9.8,4.4,8.5,30211,273,680,27,4,0.75,18|134|1080|1272|1813|1906|2149|2539|2852|3736|5027|5174|5321|6536|6769|6781|6833|9456|9914|9992|10768|23171|27347|65125|65268|81671|84766,ABAT|ADORA1|CFTR|CNTN1|DRD2|EDN1|F2R|G6PD|GPER1|KCNA1|P2RX7|PDZK1|PLA2G4A|SLC6A9|STAC|STC1|ABCC8|HOMER1|ATP2C2|KCNE2|AHCYL1|GPD1L|STK39|WNK1|WNK2|VMP1|CRACR2A,-6.9,MyList
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-9.8,3.2,7.9,30211,560,680,40,5.9,0.9,306|972|1012|1435|1839|1906|2039|2149|2150|2321|2651|2660|2852|2896|3929|4739|5063|5154|5291|5578|6239|7057|7099|7429|7476|9076|9693|9750|23224|27347|55612|56920|57402|65125|80005|80310|81029|153769|284340|284403,ANXA3|CD74|CDH13|CSF1|HBEGF|EDN1|DMTN|F2R|F2RL1|FLT1|GCNT2|MSTN|GPER1|GRN|LBP|NEDD9|PAK3|PDGFA|PIK3CB|PRKCA|RREB1|THBS1|TLR4|VIL1|WNT7A|CLDN1|RAPGEF2|RIPOR2|SYNE2|STK39|FERMT1|SEMA3G|S100A14|WNK1|DOCK5|PDGFD|WNT5B|SH3RF2|CXCL17|WDR62,-6.9,MyList
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0023052 signaling,-9.7,2.9,7.7,30211,686,680,45,6.6,0.95,134|467|972|1813|1880|1906|1942|2122|2149|2150|2321|2651|2852|4217|5027|5063|5154|5187|5291|5314|5578|6423|6647|7039|7057|7099|7476|8649|8837|9693|10178|10595|22881|22943|23236|27330|27347|54206|65268|80310|84766|153769|284340|389658|768211,ADORA1|ATF3|CD74|DRD2|GPR183|EDN1|EFNA1|MECOM|F2R|F2RL1|FLT1|GCNT2|GPER1|MAP3K5|P2RX7|PAK3|PDGFA|PER1|PIK3CB|PKHD1|PRKCA|SFRP2|SOD1|TGFA|THBS1|TLR4|WNT7A|LAMTOR3|CFLAR|RAPGEF2|TENM1|ERN2|ANKRD6|DKK1|PLCB1|RPS6KA6|STK39|ERRFI1|WNK2|PDGFD|CRACR2A|SH3RF2|CXCL17|ALKAL1|RELL1,-6.8,MyList
GO Biological Processes,19,GO:0006820,anion transport,19_GO:0051179 localization,-9.7,3.5,8,30211,447,680,35,5.1,0.85,1080|1813|4036|4257|4828|5167|5321|6509|6513|6520|6533|6536|7038|8671|8884|9120|9123|9213|10316|10560|10568|11136|51228|54407|54831|55244|80736|84679|84879|115111|151473|203859|284111|340146|375611,CFTR|DRD2|LRP2|MGST1|NMB|ENPP1|PLA2G4A|SLC1A4|SLC2A1|SLC3A2|SLC6A6|SLC6A9|TG|SLC4A4|SLC5A6|SLC16A6|SLC16A3|XPR1|NMUR1|SLC19A2|SLC34A2|SLC7A9|GLTP|SLC38A2|BEST2|SLC47A1|SLC44A4|SLC9A7|MFSD2A|SLC26A7|SLC16A14|ANO5|SLC13A5|SLC35D3|SLC26A5,-6.8,MyList
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-9.7,4.2,8.4,30211,297,680,28,4.1,0.76,182|231|445|1592|1910|1948|2650|4036|4311|4774|4824|5076|5314|5800|6299|6382|6385|8549|8842|9863|10220|11174|51057|51804|55366|80000|157506|170690,JAG1|AKR1B1|ASS1|CYP26A1|EDNRB|EFNB2|GCNT1|LRP2|MME|NFIA|NKX3-1|PAX2|PKHD1|PTPRO|SALL1|SDC1|SDC4|LGR5|PROM1|MAGI2|GDF11|ADAMTS6|WDPCP|SIX4|LGR4|GREB1L|RDH10|ADAMTS16,-6.8,MyList
