_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.4,GO:2001056,positive regulation of cysteine-type endopeptidase activity,M1,1,0
1,-3.6,GO:0019233,sensory perception of pain,M1,1,0
1,-3.6,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3,GO:0008584,male gonad development,M1,1,0
1,-5,GO:0048167,regulation of synaptic plasticity,M1,1,0
1,-2.3,GO:0032890,regulation of organic acid transport,M1,1,0
1,-2.2,R-HSA-112043,PLC beta mediated events,M1,1,0
1,-6.5,GO:0046942,carboxylic acid transport,M1,1,0
1,-2.7,GO:1901888,regulation of cell junction assembly,M1,1,0
1,-2.1,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.3,GO:0050671,positive regulation of lymphocyte proliferation,M1,1,0
1,-9,GO:0055065,metal ion homeostasis,M1,1,0
1,-2.7,GO:0010559,regulation of glycoprotein biosynthetic process,M1,1,0
1,-4.5,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-4,GO:0042311,vasodilation,M1,1,0
1,-2.1,GO:0140448,signaling receptor ligand precursor processing,M1,1,0
1,-3.6,GO:0046488,phosphatidylinositol metabolic process,M1,1,0
1,-4,GO:0002011,morphogenesis of an epithelial sheet,M1,1,0
1,-3.5,GO:0007268,chemical synaptic transmission,M1,1,0
1,-2.9,hsa01250,Biosynthesis of nucleotide sugars,M1,1,0
1,-3.5,GO:1901379,regulation of potassium ion transmembrane transport,M1,1,0
1,-4.6,GO:0048598,embryonic morphogenesis,M1,1,0
1,-5.6,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-4.1,GO:0051928,positive regulation of calcium ion transport,M1,1,0
1,-2.3,GO:0003180,aortic valve morphogenesis,M1,1,0
1,-3.1,hsa00051,Fructose and mannose metabolism,M1,1,0
1,-5.4,GO:0050921,positive regulation of chemotaxis,M1,1,0
1,-3.1,hsa04014,Ras signaling pathway,M1,1,0
1,-3.5,GO:0062197,cellular response to chemical stress,M1,1,0
1,-3.6,GO:0061098,positive regulation of protein tyrosine kinase activity,M1,1,0
1,-4.5,GO:0050673,epithelial cell proliferation,M1,1,0
1,-2.9,GO:0070472,regulation of uterine smooth muscle contraction,M1,1,0
1,-2.1,GO:0070373,negative regulation of ERK1 and ERK2 cascade,M1,1,0
1,-12,GO:0003013,circulatory system process,M1,1,0
1,-2.2,R-HSA-2871809,FCERI mediated Ca+2 mobilization,M1,1,0
1,-3.8,R-HSA-1483206,Glycerophospholipid biosynthesis,M1,1,0
1,-2.3,GO:0007409,axonogenesis,M1,1,0
1,-2.4,GO:0051491,positive regulation of filopodium assembly,M1,1,0
1,-2.4,GO:0010939,regulation of necrotic cell death,M1,1,0
1,-2.6,GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,M1,1,0
1,-2.8,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,M1,1,0
1,-7.7,GO:0034765,regulation of ion transmembrane transport,M1,1,0
1,-2.7,GO:1903524,positive regulation of blood circulation,M1,1,0
1,-6.7,GO:0048871,multicellular organismal homeostasis,M1,1,0
1,-2.4,GO:0097066,response to thyroid hormone,M1,1,0
1,-3.3,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,M1,1,0
1,-2.3,GO:0090162,establishment of epithelial cell polarity,M1,1,0
1,-2.7,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-3,GO:0099504,synaptic vesicle cycle,M1,1,0
1,-3.7,hsa04066,HIF-1 signaling pathway,M1,1,0
1,-2.4,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.2,R-HSA-937072,TRAF6-mediated induction of TAK1 complex within TLR4 complex,M1,1,0
1,-2.8,M158,PID INTEGRIN4 PATHWAY,M1,1,0
1,-4.1,GO:0043405,regulation of MAP kinase activity,M1,1,0
1,-2.8,GO:0070228,regulation of lymphocyte apoptotic process,M1,1,0
1,-2.4,GO:1903019,negative regulation of glycoprotein metabolic process,M1,1,0
1,-4.7,GO:0002687,positive regulation of leukocyte migration,M1,1,0
1,-4.9,GO:0051346,negative regulation of hydrolase activity,M1,1,0
1,-3.2,GO:0032990,cell part morphogenesis,M1,1,0
1,-2.5,R-HSA-9033241,Peroxisomal protein import,M1,1,0
1,-2.7,GO:0007566,embryo implantation,M1,1,0
1,-2.3,GO:0050808,synapse organization,M1,1,0
1,-4.4,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,M1,1,0
1,-2.2,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-2.5,GO:0072329,monocarboxylic acid catabolic process,M1,1,0
1,-4.1,GO:0016042,lipid catabolic process,M1,1,0
1,-2.3,GO:0097553,calcium ion transmembrane import into cytosol,M1,1,0
1,-2.1,R-HSA-422356,Regulation of insulin secretion,M1,1,0
1,-2.5,GO:0002903,negative regulation of B cell apoptotic process,M1,1,0
1,-2.6,GO:0044319,"wound healing, spreading of cells",M1,1,0
1,-2.8,GO:0032946,positive regulation of mononuclear cell proliferation,M1,1,0
1,-2.9,GO:0006935,chemotaxis,M1,1,0
1,-2.6,GO:0006869,lipid transport,M1,1,0
1,-2.6,GO:0001657,ureteric bud development,M1,1,0
1,-2.6,GO:0050714,positive regulation of protein secretion,M1,1,0
1,-4.9,GO:0007605,sensory perception of sound,M1,1,0
1,-2.1,hsa05165,Human papillomavirus infection,M1,1,0
1,-3.2,GO:0010662,regulation of striated muscle cell apoptotic process,M1,1,0
1,-2.9,GO:0032288,myelin assembly,M1,1,0
1,-2.1,hsa00500,Starch and sucrose metabolism,M1,1,0
1,-5.3,GO:1903036,positive regulation of response to wounding,M1,1,0
1,-5,GO:0043086,negative regulation of catalytic activity,M1,1,0
1,-2.3,R-HSA-5260271,Diseases of Immune System,M1,1,0
1,-3.9,GO:0002027,regulation of heart rate,M1,1,0
1,-4.4,WP2572,Primary focal segmental glomerulosclerosis (FSGS),M1,1,0
1,-4.7,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-4.2,GO:0031175,neuron projection development,M1,1,0
1,-2.9,GO:0045742,positive regulation of epidermal growth factor receptor signaling pathway,M1,1,0
1,-2.1,GO:0044060,regulation of endocrine process,M1,1,0
1,-8.5,GO:1900046,regulation of hemostasis,M1,1,0
1,-2.5,R-HSA-1483191,Synthesis of PC,M1,1,0
1,-3.4,GO:0050865,regulation of cell activation,M1,1,0
1,-2.6,GO:0051960,regulation of nervous system development,M1,1,0
1,-2.3,GO:0042044,fluid transport,M1,1,0
1,-2.4,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-4,GO:0006954,inflammatory response,M1,1,0
1,-3.3,GO:0034976,response to endoplasmic reticulum stress,M1,1,0
1,-4.5,hsa05200,Pathways in cancer,M1,1,0
1,-3.7,GO:0071496,cellular response to external stimulus,M1,1,0
1,-7.9,GO:0034330,cell junction organization,M1,1,0
1,-2.2,GO:0090022,regulation of neutrophil chemotaxis,M1,1,0
1,-2.3,hsa00565,Ether lipid metabolism,M1,1,0
1,-3,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.4,GO:0090630,activation of GTPase activity,M1,1,0
1,-3.1,GO:0032874,positive regulation of stress-activated MAPK cascade,M1,1,0
1,-6.9,GO:0007167,enzyme linked receptor protein signaling pathway,M1,1,0
1,-2,R-HSA-446203,Asparagine N-linked glycosylation,M1,1,0
1,-2.3,GO:0071260,cellular response to mechanical stimulus,M1,1,0
1,-2.7,M166,PID ATF2 PATHWAY,M1,1,0
1,-3.1,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-2.7,GO:0002224,toll-like receptor signaling pathway,M1,1,0
1,-4.6,GO:0002931,response to ischemia,M1,1,0
1,-4.8,GO:0045017,glycerolipid biosynthetic process,M1,1,0
1,-4.5,GO:0010466,negative regulation of peptidase activity,M1,1,0
1,-4.8,GO:0009612,response to mechanical stimulus,M1,1,0
1,-7.2,GO:0052547,regulation of peptidase activity,M1,1,0
1,-3.9,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-3.1,GO:0070229,negative regulation of lymphocyte apoptotic process,M1,1,0
1,-5.8,GO:0061458,reproductive system development,M1,1,0
1,-3.9,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-3.1,GO:0060054,positive regulation of epithelial cell proliferation involved in wound healing,M1,1,0
1,-3.4,GO:0050806,positive regulation of synaptic transmission,M1,1,0
1,-5.6,GO:0032411,positive regulation of transporter activity,M1,1,0
1,-7.5,GO:0098801,regulation of renal system process,M1,1,0
1,-3.2,M165,PID SYNDECAN 4 PATHWAY,M1,1,0
1,-2,WP516,Hypertrophy model,M1,1,0
1,-4.9,GO:1905039,carboxylic acid transmembrane transport,M1,1,0
1,-2.7,GO:2000377,regulation of reactive oxygen species metabolic process,M1,1,0
1,-3,GO:0023061,signal release,M1,1,0
1,-3.1,hsa05205,Proteoglycans in cancer,M1,1,0
1,-13,GO:0098771,inorganic ion homeostasis,M1,1,0
1,-2.8,hsa04918,Thyroid hormone synthesis,M1,1,0
1,-2.8,GO:0061314,Notch signaling involved in heart development,M1,1,0
1,-2.5,GO:0030004,cellular monovalent inorganic cation homeostasis,M1,1,0
1,-2.6,GO:2000050,regulation of non-canonical Wnt signaling pathway,M1,1,0
1,-2.3,GO:0051489,regulation of filopodium assembly,M1,1,0
1,-2.1,GO:0021511,spinal cord patterning,M1,1,0
1,-2.4,GO:0098659,inorganic cation import across plasma membrane,M1,1,0
1,-2.5,R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,M1,1,0
1,-2.9,GO:1903829,positive regulation of protein localization,M1,1,0
1,-5.5,GO:0030029,actin filament-based process,M1,1,0
1,-2.7,M5883,NABA SECRETED FACTORS,M1,1,0
1,-2.1,GO:0035633,maintenance of blood-brain barrier,M1,1,0
1,-2.3,GO:0045471,response to ethanol,M1,1,0
1,-2.7,GO:0046887,positive regulation of hormone secretion,M1,1,0
1,-3.4,WP2882,Nuclear receptors meta-pathway,M1,1,0
1,-5.1,GO:0010942,positive regulation of cell death,M1,1,0
1,-2.8,GO:0035313,"wound healing, spreading of epidermal cells",M1,1,0
1,-4.6,GO:0006816,calcium ion transport,M1,1,0
1,-2.8,hsa04750,Inflammatory mediator regulation of TRP channels,M1,1,0
1,-3.4,hsa04919,Thyroid hormone signaling pathway,M1,1,0
1,-10,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-2.4,GO:0051899,membrane depolarization,M1,1,0
1,-11,GO:0030001,metal ion transport,M1,1,0
1,-2.1,GO:0046513,ceramide biosynthetic process,M1,1,0
1,-2.7,GO:0097193,intrinsic apoptotic signaling pathway,M1,1,0
1,-2.5,GO:0034111,negative regulation of homotypic cell-cell adhesion,M1,1,0
1,-3.5,GO:0042692,muscle cell differentiation,M1,1,0
1,-4.2,GO:0010817,regulation of hormone levels,M1,1,0
1,-3.7,GO:0051591,response to cAMP,M1,1,0
1,-3.3,GO:0007610,behavior,M1,1,0
1,-2.2,GO:0048661,positive regulation of smooth muscle cell proliferation,M1,1,0
1,-3.4,GO:0042490,mechanoreceptor differentiation,M1,1,0
1,-3.4,GO:0061156,pulmonary artery morphogenesis,M1,1,0
1,-4,GO:0003014,renal system process,M1,1,0
1,-4.6,GO:0060562,epithelial tube morphogenesis,M1,1,0
1,-2.9,R-HSA-5686938,Regulation of TLR by endogenous ligand,M1,1,0
1,-3.3,GO:0021537,telencephalon development,M1,1,0
1,-3.2,GO:0010812,negative regulation of cell-substrate adhesion,M1,1,0
1,-6.6,GO:0006644,phospholipid metabolic process,M1,1,0
1,-2.1,GO:0099622,cardiac muscle cell membrane repolarization,M1,1,0
1,-2.4,hsa04973,Carbohydrate digestion and absorption,M1,1,0
1,-2.9,GO:0071223,cellular response to lipoteichoic acid,M1,1,0
1,-2.4,GO:0019228,neuronal action potential,M1,1,0
1,-2.8,GO:1901186,positive regulation of ERBB signaling pathway,M1,1,0
1,-3.8,GO:0006468,protein phosphorylation,M1,1,0
1,-2.3,GO:2001259,positive regulation of cation channel activity,M1,1,0
1,-2.6,GO:1904950,negative regulation of establishment of protein localization,M1,1,0
1,-4.9,GO:0050819,negative regulation of coagulation,M1,1,0
1,-2.1,GO:0050435,amyloid-beta metabolic process,M1,1,0
1,-4.8,GO:0048545,response to steroid hormone,M1,1,0
1,-3.7,GO:0042552,myelination,M1,1,0
1,-2,GO:0001961,positive regulation of cytokine-mediated signaling pathway,M1,1,0
1,-2.7,hsa05146,Amoebiasis,M1,1,0
1,-4,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-4.6,GO:0008544,epidermis development,M1,1,0
