gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000040,ENSNVIT00000000029,315,154.68,0,0,0
ENSNVIG00000000041,ENSNVIT00000000033,2908,2746.05,310,1.31,5.36
ENSNVIG00000000042,ENSNVIT00000000040,1812,1650.05,404,2.84,11.63
ENSNVIG00000000043,ENSNVIT00000000037,1047,885.05,1,0.01,0.05
ENSNVIG00000000044,ENSNVIT00000000036,870,708.05,0,0,0
ENSNVIG00000000045,ENSNVIT00000000034,996,834.05,43,0.6,2.45
ENSNVIG00000000046,ENSNVIT00000000032,1049,887.05,13,0.17,0.7
ENSNVIG00000000047,ENSNVIT00000000039,894,732.05,832,13.17,54
ENSNVIG00000000048,ENSNVIT00000000075,2313,2151.05,2249,12.12,49.67
ENSNVIG00000000049,ENSNVIT00000000045,738,576.05,0,0,0
ENSNVIG00000000050,ENSNVIT00000000062,1233,1071.05,34,0.37,1.51
ENSNVIG00000000051,ENSNVIT00000000050,1221,1059.05,414,4.53,18.57
ENSNVIG00000000052,ENSNVIT00000000064,4126,3964.05,186,0.54,2.23
ENSNVIG00000000053,ENSNVIT00000000047,2251,2089.05,1621,8.99,36.87
ENSNVIG00000000054,"ENSNVIT00000000223,ENSNVIT00000000282,ENSNVIT00000000294,ENSNVIT00000000298,ENSNVIT00000000312",4216.76,4054.81,820,2.34,9.61
ENSNVIG00000000055,ENSNVIT00000000088,4758,4596.05,588,1.48,6.08
ENSNVIG00000000056,ENSNVIT00000000087,8916,8754.05,3306,4.38,17.94
ENSNVIG00000000057,"ENSNVIT00000001085,ENSNVIT00000001100,ENSNVIT00000001138,ENSNVIT00000001152,ENSNVIT00000001161",3628.52,3466.58,286,0.96,3.92
ENSNVIG00000000058,"ENSNVIT00000000200,ENSNVIT00000000254,ENSNVIT00000000261,ENSNVIT00000000264",1572.88,1411.07,130,1.07,4.38
ENSNVIG00000000059,"ENSNVIT00000000135,ENSNVIT00000000177,ENSNVIT00000000187,ENSNVIT00000000198",1845.65,1683.7,6158,42.39,173.76
ENSNVIG00000000060,ENSNVIT00000000048,1209,1047.05,218,2.41,9.89
ENSNVIG00000000061,"ENSNVIT00000000217,ENSNVIT00000000241,ENSNVIT00000000250",2775,2613.05,0,0,0
ENSNVIG00000000062,ENSNVIT00000000041,858,696.05,1,0.02,0.07
ENSNVIG00000000063,ENSNVIT00000000060,1344,1182.05,0,0,0
ENSNVIG00000000064,ENSNVIT00000000042,1279,1117.05,58,0.6,2.47
ENSNVIG00000000065,ENSNVIT00000000044,231,76.43,4,0.61,2.49
ENSNVIG00000000066,"ENSNVIT00000000583,ENSNVIT00000000619,ENSNVIT00000000636,ENSNVIT00000000687,ENSNVIT00000000694",3817.35,3655.4,123,0.39,1.6
ENSNVIG00000000067,ENSNVIT00000000046,1505,1343.05,2792,24.1,98.77
ENSNVIG00000000068,"ENSNVIT00000000077,ENSNVIT00000000108",933,771.05,123,1.85,7.58
ENSNVIG00000000069,"ENSNVIT00000000118,ENSNVIT00000000146,ENSNVIT00000000150",1144,982.05,57,0.67,2.76
ENSNVIG00000000070,ENSNVIT00000000059,3333,3171.05,38,0.14,0.57
ENSNVIG00000000071,ENSNVIT00000000054,1770,1608.05,441.89,3.19,13.06
ENSNVIG00000000072,"ENSNVIT00000000184,ENSNVIT00000000190",890.83,728.89,46,0.73,3
ENSNVIG00000000073,"ENSNVIT00000000967,ENSNVIT00000000986,ENSNVIT00000001010,ENSNVIT00000001016",3095.31,2933.36,1787,7.06,28.94
ENSNVIG00000000074,ENSNVIT00000000052,942,780.05,0,0,0
ENSNVIG00000000075,ENSNVIT00000000049,753,591.05,414,8.12,33.28
ENSNVIG00000000076,ENSNVIT00000000057,1502,1340.05,2,0.02,0.07
ENSNVIG00000000077,ENSNVIT00000000051,1065,903.05,5,0.06,0.26
ENSNVIG00000000078,ENSNVIT00000000092,2127,1965.05,0,0,0
ENSNVIG00000000079,ENSNVIT00000000073,1672,1510.05,179,1.37,5.63
ENSNVIG00000000080,ENSNVIT00000000053,111,4.26,0,0,0
ENSNVIG00000000081,"ENSNVIT00000000109,ENSNVIT00000000115",1407.78,1245.83,2281,21.22,86.99
ENSNVIG00000000082,ENSNVIT00000000055,2054,1892.05,733,4.49,18.41
ENSNVIG00000000083,"ENSNVIT00000000345,ENSNVIT00000000353,ENSNVIT00000000355",3381.62,3219.68,1441,5.19,21.26
ENSNVIG00000000084,ENSNVIT00000000104,753,591.05,8,0.16,0.64
ENSNVIG00000000085,ENSNVIT00000000061,936,774.05,0,0,0
ENSNVIG00000000086,"ENSNVIT00000000106,ENSNVIT00000000121,ENSNVIT00000000132",3362.18,3200.23,736,2.67,10.93
ENSNVIG00000000087,ENSNVIT00000000066,1479,1317.05,91,0.8,3.28
ENSNVIG00000000088,ENSNVIT00000000076,675,513.06,4,0.09,0.37
ENSNVIG00000000089,ENSNVIT00000000097,1941,1779.05,1208,7.87,32.26
ENSNVIG00000000090,"ENSNVIT00000000138,ENSNVIT00000000147,ENSNVIT00000000157",893.59,731.64,156,2.47,10.13
ENSNVIG00000000091,"ENSNVIT00000000193,ENSNVIT00000000225,ENSNVIT00000000244",2003.72,1841.77,214,1.35,5.52
ENSNVIG00000000092,ENSNVIT00000000279,3609,3447.05,403,1.36,5.55
ENSNVIG00000000093,ENSNVIT00000000058,106,3.31,5,17.52,71.8
ENSNVIG00000000094,"ENSNVIT00000000102,ENSNVIT00000000131",1689.21,1527.26,394,2.99,12.26
ENSNVIG00000000095,"ENSNVIT00000000215,ENSNVIT00000000228,ENSNVIT00000000237,ENSNVIT00000000251,ENSNVIT00000000290",1307.88,1145.93,923,9.34,38.27
ENSNVIG00000000096,ENSNVIT00000000063,2256,2094.05,99,0.55,2.25
ENSNVIG00000000097,ENSNVIT00000000084,1344,1182.05,527,5.17,21.18
ENSNVIG00000000099,ENSNVIT00000000068,100,2.37,0,0,0
ENSNVIG00000000100,ENSNVIT00000000085,1371,1209.05,934,8.95,36.7
ENSNVIG00000000101,"ENSNVIT00000000140,ENSNVIT00000000181",1692.48,1530.53,96,0.73,2.98
ENSNVIG00000000102,ENSNVIT00000000080,900,738.05,0,0,0
ENSNVIG00000000103,"ENSNVIT00000000083,ENSNVIT00000000101,ENSNVIT00000000126,ENSNVIT00000000167,ENSNVIT00000000197",3012.13,2850.19,452,1.84,7.53
ENSNVIG00000000104,ENSNVIT00000000100,3837,3675.05,189,0.6,2.44
ENSNVIG00000000105,ENSNVIT00000000072,408,246.33,0,0,0
ENSNVIG00000000106,ENSNVIT00000000069,1316,1154.05,8,0.08,0.33
ENSNVIG00000000107,ENSNVIT00000000070,877,715.05,9,0.15,0.6
ENSNVIG00000000108,ENSNVIT00000000079,1320,1158.05,0,0,0
ENSNVIG00000000109,ENSNVIT00000000082,1104,942.05,14,0.17,0.71
ENSNVIG00000000110,"ENSNVIT00000000095,ENSNVIT00000000099",2399,2237.05,44.91,0.23,0.95
ENSNVIG00000000111,"ENSNVIT00000000151,ENSNVIT00000000156",1093.5,931.55,0,0,0
ENSNVIG00000000112,ENSNVIT00000000078,1867,1705.05,6,0.04,0.17
ENSNVIG00000000113,ENSNVIT00000000094,1644,1482.05,30,0.23,0.96
ENSNVIG00000000114,ENSNVIT00000000086,133,10.63,2,2.18,8.94
ENSNVIG00000000115,ENSNVIT00000000089,993,831.05,2,0.03,0.11
ENSNVIG00000000116,ENSNVIT00000000093,930,768.05,2,0.03,0.12
ENSNVIG00000000117,ENSNVIT00000000145,1020,858.05,14,0.19,0.78
ENSNVIG00000000118,ENSNVIT00000000090,54,0,0,0,0
ENSNVIG00000000120,ENSNVIT00000000096,285,125.85,2,0.18,0.76
ENSNVIG00000000122,"ENSNVIT00000000164,ENSNVIT00000000169",3450,3288.05,89,0.31,1.29
ENSNVIG00000000123,"ENSNVIT00000000105,ENSNVIT00000000122,ENSNVIT00000000127",1389.36,1227.41,274,2.59,10.61
ENSNVIG00000000124,ENSNVIT00000000113,915,753.05,0,0,0
ENSNVIG00000000125,ENSNVIT00000000103,107,3.49,0,0,0
ENSNVIG00000000126,"ENSNVIT00000000172,ENSNVIT00000000179",1959,1797.05,88,0.57,2.33
ENSNVIG00000000127,"ENSNVIT00000000173,ENSNVIT00000000185",6151.3,5989.4,4671,9.04,37.05
ENSNVIG00000000128,"ENSNVIT00000000124,ENSNVIT00000000137",2089,1927.05,16,0.1,0.39
ENSNVIG00000000129,"ENSNVIT00000000191,ENSNVIT00000000226,ENSNVIT00000000258",531.31,369.4,16,0.5,2.06
ENSNVIG00000000131,ENSNVIT00000000110,315,154.68,28,2.1,8.6
ENSNVIG00000000132,ENSNVIT00000000111,942,780.05,0,0,0
ENSNVIG00000000133,ENSNVIT00000000112,936,774.05,0,0,0
ENSNVIG00000000134,ENSNVIT00000000136,7651,7489.05,1338,2.07,8.49
ENSNVIG00000000135,ENSNVIT00000000114,993,831.05,0,0,0
ENSNVIG00000000136,ENSNVIT00000000117,981,819.05,0,0,0
ENSNVIG00000000137,ENSNVIT00000000128,1117,955.05,810,9.83,40.29
ENSNVIG00000000138,ENSNVIT00000000116,475,313.13,19,0.7,2.88
ENSNVIG00000000139,ENSNVIT00000000134,2085,1923.05,1443,8.7,35.65
ENSNVIG00000000140,ENSNVIT00000000123,885,723.05,0,0,0
ENSNVIG00000000141,ENSNVIT00000000120,164,25.76,0,0,0
ENSNVIG00000000142,ENSNVIT00000000129,960,798.05,0,0,0
ENSNVIG00000000143,ENSNVIT00000000141,1065,903.05,12,0.15,0.63
ENSNVIG00000000144,"ENSNVIT00000000375,ENSNVIT00000000377,ENSNVIT00000000396",1665.88,1503.93,369,2.84,11.66
ENSNVIG00000000145,ENSNVIT00000000119,104,2.97,0,0,0
ENSNVIG00000000146,"ENSNVIT00000001339,ENSNVIT00000001397,ENSNVIT00000001400,ENSNVIT00000001419",4403.08,4241.14,2002,5.47,22.43
ENSNVIG00000000147,ENSNVIT00000000130,2495,2333.05,836,4.15,17.02
ENSNVIG00000000148,"ENSNVIT00000000142,ENSNVIT00000000170,ENSNVIT00000000208",2804.7,2642.76,619.09,2.72,11.13
ENSNVIG00000000149,"ENSNVIT00000000968,ENSNVIT00000000985,ENSNVIT00000001007,ENSNVIT00000001044",2175,2013.05,31,0.18,0.73
ENSNVIG00000000150,ENSNVIT00000000125,328,167.33,0,0,0
ENSNVIG00000000151,"ENSNVIT00000000433,ENSNVIT00000000452,ENSNVIT00000000464",2097.88,1935.94,214,1.28,5.25
ENSNVIG00000000152,ENSNVIT00000000133,939,777.05,0,0,0
ENSNVIG00000000153,ENSNVIT00000000139,963,801.05,0,0,0
ENSNVIG00000000154,"ENSNVIT00000000180,ENSNVIT00000000205",2564.76,2402.82,1665,8.03,32.92
ENSNVIG00000000155,ENSNVIT00000000143,960,798.05,0,0,0
ENSNVIG00000000156,"ENSNVIT00000000216,ENSNVIT00000000229",5160.23,4998.29,1422,3.3,13.52
ENSNVIG00000000157,ENSNVIT00000000165,3647,3485.05,7137,23.74,97.3
ENSNVIG00000000158,ENSNVIT00000000144,939,777.05,0,0,0
ENSNVIG00000000159,ENSNVIT00000000148,678,516.06,0,0,0
ENSNVIG00000000160,ENSNVIT00000000152,1011,849.05,14,0.19,0.78
ENSNVIG00000000161,"ENSNVIT00000000158,ENSNVIT00000000176,ENSNVIT00000000207,ENSNVIT00000000221",2362.59,2200.65,288,1.52,6.22
ENSNVIG00000000162,ENSNVIT00000000149,675,513.06,0,0,0
ENSNVIG00000000163,"ENSNVIT00000000695,ENSNVIT00000000737",7148.83,6986.89,1708,2.83,11.61
ENSNVIG00000000164,ENSNVIT00000000253,2763,2601.05,2,0.01,0.04
ENSNVIG00000000165,"ENSNVIT00000000162,ENSNVIT00000000163",603,441.07,0,0,0
ENSNVIG00000000166,ENSNVIT00000000178,2154,1992.05,516,3,12.31
ENSNVIG00000000167,ENSNVIT00000000153,141,13.85,0,0,0
ENSNVIG00000000168,ENSNVIT00000000154,936,774.05,0,0,0
ENSNVIG00000000169,ENSNVIT00000000155,105,3.14,0,0,0
ENSNVIG00000000170,ENSNVIT00000000161,918,756.05,0,0,0
ENSNVIG00000000171,ENSNVIT00000000159,501,339.1,2,0.07,0.28
ENSNVIG00000000172,ENSNVIT00000000160,2008,1846.05,2901,18.21,74.66
ENSNVIG00000000173,ENSNVIT00000000204,3645,3483.05,1646,5.48,22.45
ENSNVIG00000000174,"ENSNVIT00000000227,ENSNVIT00000000263",3114.88,2952.94,827,3.25,13.31
ENSNVIG00000000175,"ENSNVIT00000000199,ENSNVIT00000000220",849,687.05,8,0.13,0.55
ENSNVIG00000000176,ENSNVIT00000000166,939,777.05,0,0,0
ENSNVIG00000000177,ENSNVIT00000000168,930,768.05,0,0,0
ENSNVIG00000000178,ENSNVIT00000000174,2947,2785.05,2153,8.96,36.73
ENSNVIG00000000179,ENSNVIT00000000171,285,125.85,34,3.13,12.84
ENSNVIG00000000180,ENSNVIT00000000175,102,2.66,0,0,0
ENSNVIG00000000181,ENSNVIT00000000182,438,276.21,0,0,0
ENSNVIG00000000182,ENSNVIT00000000195,942,780.05,12,0.18,0.73
ENSNVIG00000000184,ENSNVIT00000000304,1089,927.05,270,3.38,13.84
ENSNVIG00000000185,ENSNVIT00000000192,582,420.06,171,4.72,19.34
ENSNVIG00000000186,ENSNVIT00000000183,123,7.28,0,0,0
ENSNVIG00000000187,ENSNVIT00000000186,942,780.05,0,0,0
ENSNVIG00000000188,"ENSNVIT00000000203,ENSNVIT00000000230",2304.71,2142.76,116,0.63,2.57
ENSNVIG00000000189,ENSNVIT00000000189,104,2.97,0,0,0
ENSNVIG00000000190,ENSNVIT00000000202,1488,1326.05,242.1,2.12,8.67
ENSNVIG00000000191,ENSNVIT00000000210,2301,2139.05,0,0,0
ENSNVIG00000000192,ENSNVIT00000000194,936,774.05,0,0,0
ENSNVIG00000000193,ENSNVIT00000000196,4079,3917.05,617,1.83,7.48
ENSNVIG00000000194,"ENSNVIT00000000616,ENSNVIT00000000637",5216.55,5054.61,875,2.01,8.22
ENSNVIG00000000195,"ENSNVIT00000000321,ENSNVIT00000000341,ENSNVIT00000000358,ENSNVIT00000000385",4727.01,4565.07,452,1.15,4.7
ENSNVIG00000000196,"ENSNVIT00000000884,ENSNVIT00000000934,ENSNVIT00000001043,ENSNVIT00000001066,ENSNVIT00000001081,ENSNVIT00000001099,ENSNVIT00000001116",1207.34,1045.39,34,0.38,1.55
ENSNVIG00000000197,ENSNVIT00000000213,300,140.19,0,0,0
ENSNVIG00000000198,"ENSNVIT00000000209,ENSNVIT00000000219",820,658.05,62,1.09,4.48
ENSNVIG00000000199,"ENSNVIT00000000211,ENSNVIT00000000255",1515.89,1353.95,347,2.97,12.18
ENSNVIG00000000200,ENSNVIT00000000212,5214,5052.05,928,2.13,8.73
ENSNVIG00000000201,"ENSNVIT00000000403,ENSNVIT00000000408",2394,2232.05,11,0.06,0.23
ENSNVIG00000000202,ENSNVIT00000000240,2316,2154.05,87,0.47,1.92
ENSNVIG00000000203,ENSNVIT00000000224,886,724.05,5,0.08,0.33
ENSNVIG00000000204,ENSNVIT00000000252,1035,873.05,0,0,0
ENSNVIG00000000205,ENSNVIT00000000232,1251,1089.05,0,0,0
ENSNVIG00000000206,ENSNVIT00000000235,1023,861.05,0,0,0
ENSNVIG00000000207,ENSNVIT00000000269,456,294.16,10118.58,398.7,1634.27
ENSNVIG00000000208,ENSNVIT00000000231,771,609.05,0,0,0
ENSNVIG00000000209,"ENSNVIT00000000293,ENSNVIT00000000315",1998,1836.05,44,0.28,1.14
ENSNVIG00000000210,"ENSNVIT00000000338,ENSNVIT00000000346",750,588.05,1019,20.08,82.33
ENSNVIG00000000211,ENSNVIT00000000233,59,0,0,0,0
ENSNVIG00000000212,ENSNVIT00000000243,678,516.06,0,0,0
ENSNVIG00000000213,ENSNVIT00000000234,1575,1413.05,62,0.51,2.08
ENSNVIG00000000214,ENSNVIT00000000236,1032,870.05,81,1.08,4.42
ENSNVIG00000000216,ENSNVIT00000000262,2703,2541.05,340,1.55,6.36
ENSNVIG00000000217,ENSNVIT00000000238,210,58.77,0,0,0
ENSNVIG00000000218,"ENSNVIT00000000246,ENSNVIT00000000267,ENSNVIT00000000287",2777.91,2615.96,2722,12.06,49.44
ENSNVIG00000000219,ENSNVIT00000000247,79,0,0,0,0
ENSNVIG00000000220,ENSNVIT00000000275,1647,1485.05,4,0.03,0.13
ENSNVIG00000000221,ENSNVIT00000000245,3271,3109.05,408,1.52,6.23
ENSNVIG00000000222,"ENSNVIT00000000239,ENSNVIT00000000257",2282.34,2120.4,1145,6.26,25.66
ENSNVIG00000000223,"ENSNVIT00000000248,ENSNVIT00000000268",1886.13,1724.18,1216,8.17,33.51
ENSNVIG00000000224,ENSNVIT00000000259,2133,1971.05,0,0,0
ENSNVIG00000000225,ENSNVIT00000000301,4815,4653.05,2096,5.22,21.4
ENSNVIG00000000226,ENSNVIT00000000272,2424,2262.05,588,3.01,12.35
ENSNVIG00000000227,ENSNVIT00000000256,252,95.11,0,0,0
ENSNVIG00000000228,"ENSNVIT00000000310,ENSNVIT00000000331",3069,2907.05,190.26,0.76,3.11
ENSNVIG00000000229,ENSNVIT00000000265,903,741.05,2,0.03,0.13
ENSNVIG00000000230,ENSNVIT00000000274,2628,2466.05,1493,7.02,28.76
ENSNVIG00000000231,ENSNVIT00000000285,1697,1535.05,616,4.65,19.07
ENSNVIG00000000232,ENSNVIT00000000260,2945,2783.05,59,0.25,1.01
ENSNVIG00000000233,"ENSNVIT00000005081,ENSNVIT00000005089,ENSNVIT00000005166,ENSNVIT00000005195,ENSNVIT00000005205,ENSNVIT00000005340,ENSNVIT00000005428,ENSNVIT00000005486,ENSNVIT00000005549,ENSNVIT00000005612",8058.5,7896.56,3467,5.09,20.86
ENSNVIG00000000234,ENSNVIT00000000286,648,486.06,0,0,0
ENSNVIG00000000235,"ENSNVIT00000000276,ENSNVIT00000000305",1762,1600.05,194,1.41,5.76
ENSNVIG00000000236,ENSNVIT00000000270,164,25.76,6007.73,2703.22,11080.5
ENSNVIG00000000237,ENSNVIT00000000273,471,309.13,0,0,0
ENSNVIG00000000238,ENSNVIT00000000271,216,63.69,9,1.64,6.71
ENSNVIG00000000239,ENSNVIT00000000306,1613,1451.05,896,7.16,29.34
ENSNVIG00000000240,"ENSNVIT00000000280,ENSNVIT00000000283",2198.43,2036.48,9603,54.66,224.03
ENSNVIG00000000241,ENSNVIT00000000278,495,333.1,0,0,0
ENSNVIG00000000242,"ENSNVIT00000000523,ENSNVIT00000000540,ENSNVIT00000000551",955.52,793.57,722,10.55,43.23
ENSNVIG00000000244,"ENSNVIT00000000327,ENSNVIT00000000335",756,594.05,199,3.88,15.92
ENSNVIG00000000245,ENSNVIT00000000284,110,4.06,0,0,0
ENSNVIG00000000246,"ENSNVIT00000000325,ENSNVIT00000000371",1649.84,1487.9,448,3.49,14.31
ENSNVIG00000000247,ENSNVIT00000000277,936,774.05,0,0,0
ENSNVIG00000000248,ENSNVIT00000000295,2208,2046.05,25,0.14,0.58
ENSNVIG00000000249,ENSNVIT00000000281,936,774.05,0,0,0
ENSNVIG00000000250,ENSNVIT00000000291,1355,1193.05,2409,23.4,95.93
ENSNVIG00000000251,ENSNVIT00000000319,3060,2898.05,50,0.2,0.82
ENSNVIG00000000252,"ENSNVIT00000000348,ENSNVIT00000000350",1530,1368.05,94,0.8,3.26
ENSNVIG00000000253,ENSNVIT00000000391,12807,12645.05,16,0.01,0.06
ENSNVIG00000000254,"ENSNVIT00000000397,ENSNVIT00000000413,ENSNVIT00000000465,ENSNVIT00000000469,ENSNVIT00000000472",2550.98,2389.03,1882,9.13,37.43
ENSNVIG00000000255,ENSNVIT00000000288,1433,1271.05,18,0.16,0.67
ENSNVIG00000000256,ENSNVIT00000000289,936,774.05,0,0,0
ENSNVIG00000000257,ENSNVIT00000000292,2145,1983.05,39,0.23,0.93
ENSNVIG00000000258,ENSNVIT00000000299,588,426.06,6,0.16,0.67
ENSNVIG00000000259,ENSNVIT00000000296,936,774.05,0,0,0
ENSNVIG00000000260,ENSNVIT00000000297,309,148.87,0,0,0
ENSNVIG00000000261,"ENSNVIT00000000323,ENSNVIT00000000395,ENSNVIT00000000415,ENSNVIT00000000429",646.85,484.91,2747,65.66,269.15
ENSNVIG00000000262,ENSNVIT00000000303,150,18.04,0,0,0
ENSNVIG00000000263,ENSNVIT00000000309,882,720.05,577,9.29,38.07
ENSNVIG00000000264,ENSNVIT00000000300,339,178.09,64,4.17,17.07
ENSNVIG00000000265,ENSNVIT00000000302,900,738.05,0,0,0
ENSNVIG00000000266,ENSNVIT00000000307,990,828.05,94,1.32,5.39
ENSNVIG00000000267,ENSNVIT00000000357,3900,3738.05,1930,5.98,24.53
ENSNVIG00000000268,"ENSNVIT00000000383,ENSNVIT00000000384",2082,1920.05,561,3.39,13.88
ENSNVIG00000000269,"ENSNVIT00000000489,ENSNVIT00000000498,ENSNVIT00000000506,ENSNVIT00000000530",1090.56,928.62,2,0.02,0.1
ENSNVIG00000000270,"ENSNVIT00000000370,ENSNVIT00000000386,ENSNVIT00000000416",4170,4008.05,280,0.81,3.32
ENSNVIG00000000271,ENSNVIT00000000308,945,783.05,0,0,0
ENSNVIG00000000272,"ENSNVIT00000000347,ENSNVIT00000000404,ENSNVIT00000000417,ENSNVIT00000000420",1449,1287.05,31,0.28,1.14
ENSNVIG00000000273,"ENSNVIT00000000909,ENSNVIT00000000922,ENSNVIT00000000931",9368.55,9206.61,4952,6.23,25.55
ENSNVIG00000000274,ENSNVIT00000000318,288,128.71,11,0.99,4.06
ENSNVIG00000000275,ENSNVIT00000000313,105,3.14,0,0,0
ENSNVIG00000000276,ENSNVIT00000000311,86,0,0,0,0
ENSNVIG00000000278,ENSNVIT00000000326,2250,2088.05,51,0.28,1.16
ENSNVIG00000000279,ENSNVIT00000000316,951,789.05,0,0,0
ENSNVIG00000000280,ENSNVIT00000000337,675,513.06,642,14.5,59.45
ENSNVIG00000000281,"ENSNVIT00000000320,ENSNVIT00000000324",1609.84,1447.89,447,3.58,14.67
ENSNVIG00000000282,"ENSNVIT00000001304,ENSNVIT00000001328,ENSNVIT00000001347,ENSNVIT00000001379,ENSNVIT00000001418",2439.91,2277.96,1437,7.31,29.97
ENSNVIG00000000283,"ENSNVIT00000000342,ENSNVIT00000000351,ENSNVIT00000000356",1525.7,1363.75,127,1.08,4.42
ENSNVIG00000000284,"ENSNVIT00000000481,ENSNVIT00000000487,ENSNVIT00000000513,ENSNVIT00000000520",3390.34,3228.4,2995,10.75,44.08
ENSNVIG00000000285,ENSNVIT00000000392,1416,1254.05,305,2.82,11.56
ENSNVIG00000000286,ENSNVIT00000000317,106,3.31,0,0,0
ENSNVIG00000000287,ENSNVIT00000000322,1884,1722.05,0,0,0
ENSNVIG00000000288,ENSNVIT00000000329,1128,966.05,55,0.66,2.7
ENSNVIG00000000289,"ENSNVIT00000000349,ENSNVIT00000000354,ENSNVIT00000000364",3952.07,3790.12,44,0.13,0.55
ENSNVIG00000000290,ENSNVIT00000000328,1005,843.05,0,0,0
ENSNVIG00000000291,"ENSNVIT00000000512,ENSNVIT00000000542,ENSNVIT00000000554",1407,1245.05,0,0,0
ENSNVIG00000000292,"ENSNVIT00000000543,ENSNVIT00000000563",1450.7,1288.75,195,1.75,7.19
ENSNVIG00000000293,ENSNVIT00000000330,1008,846.05,4,0.05,0.22
ENSNVIG00000000294,ENSNVIT00000000333,527,365.08,190,6.03,24.73
ENSNVIG00000000295,ENSNVIT00000000332,115,5.15,0,0,0
ENSNVIG00000000297,"ENSNVIT00000000459,ENSNVIT00000000759,ENSNVIT00000000872,ENSNVIT00000000880,ENSNVIT00000000957,ENSNVIT00000001006,ENSNVIT00000001019",1088.57,926.65,0,0,0
ENSNVIG00000000298,ENSNVIT00000000339,933,771.05,0,0,0
ENSNVIG00000000299,ENSNVIT00000000336,101,2.51,0,0,0
ENSNVIG00000000300,ENSNVIT00000000343,2476,2314.05,0,0,0
ENSNVIG00000000301,ENSNVIT00000000359,3471,3309.05,334,1.17,4.8
ENSNVIG00000000302,"ENSNVIT00000001091,ENSNVIT00000001110,ENSNVIT00000001142,ENSNVIT00000001154,ENSNVIT00000001185,ENSNVIT00000001231",2719.45,2557.5,1262,5.72,23.44
ENSNVIG00000000303,ENSNVIT00000000340,107,3.49,0,0,0
