stableID	namegene	nametrans	descript	transtype
ENSNVIG00000000042	MTM1	MTM1-201	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	protein_coding
ENSNVIG00000000043	OPN1SW	OPN1SW-201	"opsin 1, short wave sensitive [Source:HGNC Symbol;Acc:HGNC:1012]"	protein_coding
ENSNVIG00000000044	ATP4B	ATP4B-201	ATPase H+/K+ transporting subunit beta [Source:HGNC Symbol;Acc:HGNC:820]	protein_coding
ENSNVIG00000000045	ACKR1	ACKR1-201	atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]	protein_coding
ENSNVIG00000000046	GJC3	GJC3-201	gap junction protein gamma 3 [Source:HGNC Symbol;Acc:HGNC:17495]	protein_coding
ENSNVIG00000000047	AZGP1	AZGP1-201	"alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]"	protein_coding
ENSNVIG00000000048	SEMA3G	SEMA3G-201	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	protein_coding
ENSNVIG00000000049				protein_coding
ENSNVIG00000000050	CASQ2	CASQ2-201	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	protein_coding
ENSNVIG00000000051	TFDP1	TFDP1-201	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	protein_coding
ENSNVIG00000000052	STK11IP	STK11IP-201	serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:HGNC:19184]	protein_coding
ENSNVIG00000000053	ZKSCAN1	ZKSCAN1-201	zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol;Acc:HGNC:13101]	protein_coding
ENSNVIG00000000054	USP6NL	USP6NL-201	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	protein_coding
ENSNVIG00000000054	USP6NL	USP6NL-202	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	protein_coding
ENSNVIG00000000054	USP6NL	USP6NL-203	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	protein_coding
ENSNVIG00000000054	USP6NL	USP6NL-204	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	protein_coding
ENSNVIG00000000054	USP6NL	USP6NL-205	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	protein_coding
ENSNVIG00000000055	SETBP1	SETBP1-201	SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573]	protein_coding
ENSNVIG00000000056	BOD1L1	BOD1L1-201	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	protein_coding
ENSNVIG00000000057	SFI1	SFI1-201	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	protein_coding
ENSNVIG00000000057	SFI1	SFI1-202	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	protein_coding
ENSNVIG00000000057	SFI1	SFI1-203	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	protein_coding
ENSNVIG00000000057	SFI1	SFI1-204	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	protein_coding
ENSNVIG00000000057	SFI1	SFI1-205	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	protein_coding
ENSNVIG00000000058	GDPD5	GDPD5-201	glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]	protein_coding
ENSNVIG00000000058	GDPD5	GDPD5-202	glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]	protein_coding
ENSNVIG00000000058	GDPD5	GDPD5-203	glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]	protein_coding
ENSNVIG00000000058	GDPD5	GDPD5-204	glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]	protein_coding
ENSNVIG00000000059	CALU	CALU-201	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	protein_coding
ENSNVIG00000000059	CALU	CALU-202	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	protein_coding
ENSNVIG00000000059	CALU	CALU-203	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	protein_coding
ENSNVIG00000000059	CALU	CALU-204	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	protein_coding
ENSNVIG00000000060	INPP1	INPP1-201	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	protein_coding
ENSNVIG00000000061	CC2D2B	CC2D2B-201	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:HGNC:31666]	protein_coding
ENSNVIG00000000061	CC2D2B	CC2D2B-202	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:HGNC:31666]	protein_coding
ENSNVIG00000000061	CC2D2B	CC2D2B-203	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:HGNC:31666]	protein_coding
ENSNVIG00000000062				protein_coding
ENSNVIG00000000063	IRX1	IRX1-201	iroquois homeobox 1 [Source:HGNC Symbol;Acc:HGNC:14358]	protein_coding
ENSNVIG00000000064				protein_coding
ENSNVIG00000000065	ENHO	ENHO-201	energy homeostasis associated [Source:HGNC Symbol;Acc:HGNC:24838]	protein_coding
ENSNVIG00000000066	PHTF2	PHTF2-201	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding
ENSNVIG00000000066	PHTF2	PHTF2-202	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding
ENSNVIG00000000066	PHTF2	PHTF2-203	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding
ENSNVIG00000000066	PHTF2	PHTF2-204	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding
ENSNVIG00000000066	PHTF2	PHTF2-205	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding
ENSNVIG00000000067			canopy FGF signaling regulator 2 [Source:HGNC Symbol;Acc:HGNC:13529]	protein_coding
ENSNVIG00000000068	CN028	CN028-201	chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]	protein_coding
ENSNVIG00000000068	CN028	CN028-202	chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]	protein_coding
ENSNVIG00000000069	SNCA	SNCA-201	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	protein_coding
ENSNVIG00000000069	SNCA	SNCA-202	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	protein_coding
ENSNVIG00000000069	SNCA	SNCA-203	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	protein_coding
ENSNVIG00000000070	SYNPO	SYNPO-201	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	protein_coding
ENSNVIG00000000071				protein_coding
ENSNVIG00000000072	G5E940	G5E940-201	ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]	protein_coding
ENSNVIG00000000072	G5E940	G5E940-202	ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]	protein_coding
ENSNVIG00000000073	C2CD5	C2CD5-201	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	protein_coding
ENSNVIG00000000073	C2CD5	C2CD5-202	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	protein_coding
ENSNVIG00000000073	C2CD5	C2CD5-203	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	protein_coding
ENSNVIG00000000073	C2CD5	C2CD5-204	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	protein_coding
ENSNVIG00000000074				protein_coding
ENSNVIG00000000075	MRPL16	MRPL16-201	mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]	protein_coding
ENSNVIG00000000076				protein_coding
ENSNVIG00000000077				protein_coding
ENSNVIG00000000078	DNAI1	DNAI1-201	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	protein_coding
ENSNVIG00000000079	ABAT	ABAT-201	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	protein_coding
ENSNVIG00000000080	Y_RNA	Y_RNA-201	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
ENSNVIG00000000081	SNU13	SNU13-201	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	protein_coding
ENSNVIG00000000081	SNU13	SNU13-202	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	protein_coding
ENSNVIG00000000082	ZSCAN21	ZSCAN21-201	zinc finger and SCAN domain containing 21 [Source:HGNC Symbol;Acc:HGNC:13104]	protein_coding
ENSNVIG00000000083	ATP11C	ATP11C-201	ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554]	protein_coding
ENSNVIG00000000083	ATP11C	ATP11C-202	ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554]	protein_coding
ENSNVIG00000000083	ATP11C	ATP11C-203	ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554]	protein_coding
ENSNVIG00000000084	FCER1A	FCER1A-201	Fc fragment of IgE receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609]	protein_coding
ENSNVIG00000000085				protein_coding
ENSNVIG00000000086	PCK2	PCK2-201	"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"	protein_coding
ENSNVIG00000000086	PCK2	PCK2-202	"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"	protein_coding
ENSNVIG00000000086	PCK2	PCK2-203	"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"	protein_coding
ENSNVIG00000000087	T200A	T200A-201	transmembrane protein 200A [Source:HGNC Symbol;Acc:HGNC:21075]	protein_coding
ENSNVIG00000000088	RS1	RS1-201	retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]	protein_coding
ENSNVIG00000000089	TMCO3	TMCO3-201	transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]	protein_coding
ENSNVIG00000000090	STX3	STX3-201	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	protein_coding
ENSNVIG00000000090	STX3	STX3-202	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	protein_coding
ENSNVIG00000000090	STX3	STX3-203	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	protein_coding
ENSNVIG00000000091	MTMR1	MTMR1-201	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	protein_coding
ENSNVIG00000000091	MTMR1	MTMR1-202	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	protein_coding
ENSNVIG00000000091	MTMR1	MTMR1-203	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	protein_coding
ENSNVIG00000000092	PAN2	PAN2-201	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	protein_coding
ENSNVIG00000000093	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000094	TADA2A	TADA2A-201	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]	protein_coding
ENSNVIG00000000094	TADA2A	TADA2A-202	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]	protein_coding
ENSNVIG00000000095	HIBCH	HIBCH-201	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	protein_coding
ENSNVIG00000000095	HIBCH	HIBCH-202	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	protein_coding
ENSNVIG00000000095	HIBCH	HIBCH-203	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	protein_coding
ENSNVIG00000000095	HIBCH	HIBCH-204	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	protein_coding
ENSNVIG00000000095	HIBCH	HIBCH-205	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	protein_coding
ENSNVIG00000000096	SLC16A13	SLC16A13-201	solute carrier family 16 member 13 [Source:HGNC Symbol;Acc:HGNC:31037]	protein_coding
ENSNVIG00000000097	ZNF3	ZNF3-201	zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:13089]	protein_coding
ENSNVIG00000000099	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000100	PSMD12	PSMD12-201	"proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]"	protein_coding
ENSNVIG00000000101	CSAD	CSAD-201	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	protein_coding
ENSNVIG00000000101	CSAD	CSAD-202	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	protein_coding
ENSNVIG00000000102				pseudogene
ENSNVIG00000000103	NDST1	NDST1-201	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding
ENSNVIG00000000103	NDST1	NDST1-202	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding
ENSNVIG00000000103	NDST1	NDST1-203	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding
ENSNVIG00000000103	NDST1	NDST1-204	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding
ENSNVIG00000000103	NDST1	NDST1-205	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding
ENSNVIG00000000104	ADAMTS16	ADAMTS16-201	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	protein_coding
ENSNVIG00000000105	NHLH2	NHLH2-201	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	protein_coding
ENSNVIG00000000106				lncRNA
ENSNVIG00000000107				lncRNA
ENSNVIG00000000108	SLC16A11	SLC16A11-201	solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]	protein_coding
ENSNVIG00000000109				protein_coding
ENSNVIG00000000110	SAMD3	SAMD3-201	sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21574]	protein_coding
ENSNVIG00000000110	SAMD3	SAMD3-202	sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21574]	protein_coding
ENSNVIG00000000111	PHF7	PHF7-201	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	protein_coding
ENSNVIG00000000111	PHF7	PHF7-202	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	protein_coding
ENSNVIG00000000112				protein_coding
ENSNVIG00000000113	SLC22A15	SLC22A15-201	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	protein_coding
ENSNVIG00000000114				snoRNA
ENSNVIG00000000115				protein_coding
ENSNVIG00000000116	CLC10	CLC10-201	C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916]	protein_coding
ENSNVIG00000000117				protein_coding
ENSNVIG00000000118	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000120				protein_coding
ENSNVIG00000000122	SLC4A3	SLC4A3-201	solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]	protein_coding
ENSNVIG00000000122	SLC4A3	SLC4A3-202	solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]	protein_coding
ENSNVIG00000000123	METTL22	METTL22-201	methyltransferase like 22 [Source:HGNC Symbol;Acc:HGNC:28368]	protein_coding
ENSNVIG00000000123	METTL22	METTL22-202	methyltransferase like 22 [Source:HGNC Symbol;Acc:HGNC:28368]	protein_coding
ENSNVIG00000000123	METTL22	METTL22-203	methyltransferase like 22 [Source:HGNC Symbol;Acc:HGNC:28368]	protein_coding
ENSNVIG00000000124	ASGR2	ASGR2-201	asialoglycoprotein receptor 2 [Source:HGNC Symbol;Acc:HGNC:743]	protein_coding
ENSNVIG00000000125	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000126	PPEF1	PPEF1-201	protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]	protein_coding
ENSNVIG00000000126	PPEF1	PPEF1-202	protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]	protein_coding
ENSNVIG00000000127	ASCC3	ASCC3-201	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]	protein_coding
ENSNVIG00000000127	ASCC3	ASCC3-202	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]	protein_coding
ENSNVIG00000000128	MAB21L3	MAB21L3-201	mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787]	protein_coding
ENSNVIG00000000128	MAB21L3	MAB21L3-202	mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787]	protein_coding
ENSNVIG00000000129	FAM219A	FAM219A-201	family with sequence similarity 219 member A [Source:HGNC Symbol;Acc:HGNC:19920]	protein_coding
ENSNVIG00000000129	FAM219A	FAM219A-202	family with sequence similarity 219 member A [Source:HGNC Symbol;Acc:HGNC:19920]	protein_coding
ENSNVIG00000000129	FAM219A	FAM219A-203	family with sequence similarity 219 member A [Source:HGNC Symbol;Acc:HGNC:19920]	protein_coding
ENSNVIG00000000131				protein_coding
ENSNVIG00000000132	OR10J3	OR10J3-201	olfactory receptor family 10 subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:14992]	protein_coding
ENSNVIG00000000133	OR10G6	OR10G6-201	olfactory receptor family 10 subfamily G member 6 [Source:HGNC Symbol;Acc:HGNC:14836]	protein_coding
ENSNVIG00000000134	ICE1	ICE1-201	interactor of little elongation complex ELL subunit 1 [Source:HGNC Symbol;Acc:HGNC:29154]	protein_coding
ENSNVIG00000000135	OR10S1	OR10S1-201	olfactory receptor family 10 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:14807]	protein_coding
ENSNVIG00000000136				protein_coding
ENSNVIG00000000137	COPS6	COPS6-201	COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]	protein_coding
ENSNVIG00000000138				protein_coding
ENSNVIG00000000139	NOL11	NOL11-201	nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]	protein_coding
ENSNVIG00000000140				protein_coding
ENSNVIG00000000141	U4	U4-201	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA
ENSNVIG00000000142	OR10J4	OR10J4-201	olfactory receptor family 10 subfamily J member 4 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15408]	protein_coding
ENSNVIG00000000143			ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]	protein_coding
ENSNVIG00000000144	XRCC6	XRCC6-201	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	protein_coding
ENSNVIG00000000144	XRCC6	XRCC6-202	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	protein_coding
ENSNVIG00000000144	XRCC6	XRCC6-203	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	protein_coding
ENSNVIG00000000145	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000146				protein_coding
ENSNVIG00000000146				protein_coding
ENSNVIG00000000146				protein_coding
ENSNVIG00000000146				protein_coding
ENSNVIG00000000147	KLHL28	KLHL28-201	kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]	protein_coding
ENSNVIG00000000148	L3MBTL3	L3MBTL3-201	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	protein_coding
ENSNVIG00000000148	L3MBTL3	L3MBTL3-202	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	protein_coding
ENSNVIG00000000148	L3MBTL3	L3MBTL3-203	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	protein_coding
ENSNVIG00000000149	DLG4	DLG4-201	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	protein_coding
ENSNVIG00000000149	DLG4	DLG4-202	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	protein_coding
ENSNVIG00000000149	DLG4	DLG4-203	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	protein_coding
ENSNVIG00000000149	DLG4	DLG4-204	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	protein_coding
ENSNVIG00000000150	7SK	7SK-201	7SK RNA [Source:RFAM;Acc:RF00100]	misc_RNA
ENSNVIG00000000151	CPEB2	CPEB2-201	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	protein_coding
ENSNVIG00000000151	CPEB2	CPEB2-202	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	protein_coding
ENSNVIG00000000151	CPEB2	CPEB2-203	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	protein_coding
