gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000073,"ENSNVIT00000000967,ENSNVIT00000000986,ENSNVIT00000001010,ENSNVIT00000001016",3073.91,2919.1,3256,15.8,56.95
ENSNVIG00000000074,ENSNVIT00000000052,942,787.19,0,0,0
ENSNVIG00000000075,ENSNVIT00000000049,753,598.19,419,9.92,35.76
ENSNVIG00000000076,ENSNVIT00000000057,1502,1347.19,1.23,0.01,0.05
ENSNVIG00000000077,ENSNVIT00000000051,1065,910.19,2,0.03,0.11
ENSNVIG00000000078,ENSNVIT00000000092,2127,1972.19,0,0,0
ENSNVIG00000000079,ENSNVIT00000000073,1672,1517.19,2542.96,23.74,85.57
ENSNVIG00000000080,ENSNVIT00000000053,111,5.92,0,0,0
ENSNVIG00000000081,"ENSNVIT00000000109,ENSNVIT00000000115",1416.37,1261.57,1924,21.6,77.86
ENSNVIG00000000082,ENSNVIT00000000055,2054,1899.19,433,3.23,11.64
ENSNVIG00000000083,"ENSNVIT00000000345,ENSNVIT00000000353,ENSNVIT00000000355",3394.76,3239.96,5049,22.07,79.56
ENSNVIG00000000084,ENSNVIT00000000104,753,598.19,8,0.19,0.68
ENSNVIG00000000085,ENSNVIT00000000061,936,781.19,0,0,0
ENSNVIG00000000086,"ENSNVIT00000000106,ENSNVIT00000000121,ENSNVIT00000000132",3294.41,3139.6,303,1.37,4.93
ENSNVIG00000000087,ENSNVIT00000000066,1479,1324.19,16,0.17,0.62
ENSNVIG00000000088,ENSNVIT00000000076,675,520.2,1,0.03,0.1
ENSNVIG00000000089,ENSNVIT00000000097,1941,1786.19,861,6.83,24.61
ENSNVIG00000000090,"ENSNVIT00000000138,ENSNVIT00000000147,ENSNVIT00000000157",900,745.19,319,6.06,21.85
ENSNVIG00000000091,"ENSNVIT00000000193,ENSNVIT00000000225,ENSNVIT00000000244",2001.57,1846.76,372.46,2.86,10.3
ENSNVIG00000000092,ENSNVIT00000000279,3609,3454.19,252,1.03,3.72
ENSNVIG00000000093,ENSNVIT00000000058,106,4.62,6,18.38,66.24
ENSNVIG00000000094,"ENSNVIT00000000102,ENSNVIT00000000131",1768.98,1614.17,474,4.16,14.99
ENSNVIG00000000095,"ENSNVIT00000000215,ENSNVIT00000000228,ENSNVIT00000000237,ENSNVIT00000000251,ENSNVIT00000000290",1280.57,1125.76,1112,13.99,50.43
ENSNVIG00000000096,ENSNVIT00000000063,2256,2101.19,58,0.39,1.41
ENSNVIG00000000097,ENSNVIT00000000084,1344,1189.19,224,2.67,9.62
ENSNVIG00000000099,ENSNVIT00000000068,100,3.32,0,0,0
ENSNVIG00000000100,ENSNVIT00000000085,1371,1216.19,719,8.37,30.18
ENSNVIG00000000101,"ENSNVIT00000000140,ENSNVIT00000000181",1790.27,1635.46,68,0.59,2.12
ENSNVIG00000000102,ENSNVIT00000000080,900,745.19,0,0,0
ENSNVIG00000000103,"ENSNVIT00000000083,ENSNVIT00000000101,ENSNVIT00000000126,ENSNVIT00000000167,ENSNVIT00000000197",3307.97,3153.17,315,1.42,5.1
ENSNVIG00000000104,ENSNVIT00000000100,3837,3682.19,50,0.19,0.69
ENSNVIG00000000105,ENSNVIT00000000072,408,253.47,0,0,0
ENSNVIG00000000106,ENSNVIT00000000069,1316,1161.19,1,0.01,0.04
ENSNVIG00000000107,ENSNVIT00000000070,877,722.19,10,0.2,0.71
ENSNVIG00000000108,ENSNVIT00000000079,1320,1165.19,0,0,0
ENSNVIG00000000109,ENSNVIT00000000082,1104,949.19,82,1.22,4.41
ENSNVIG00000000110,"ENSNVIT00000000095,ENSNVIT00000000099",2399,2244.19,17.27,0.11,0.39
ENSNVIG00000000111,"ENSNVIT00000000151,ENSNVIT00000000156",1093.5,938.69,0,0,0
ENSNVIG00000000112,ENSNVIT00000000078,1867,1712.19,8,0.07,0.24
ENSNVIG00000000113,ENSNVIT00000000094,1644,1489.19,4,0.04,0.14
ENSNVIG00000000114,ENSNVIT00000000086,133,13.91,0,0,0
ENSNVIG00000000115,ENSNVIT00000000089,993,838.19,2,0.03,0.12
ENSNVIG00000000116,ENSNVIT00000000093,930,775.19,6,0.11,0.4
ENSNVIG00000000117,ENSNVIT00000000145,1020,865.19,92,1.51,5.43
ENSNVIG00000000118,ENSNVIT00000000090,54,0,0,0,0
ENSNVIG00000000120,ENSNVIT00000000096,285,132.91,4,0.43,1.54
ENSNVIG00000000122,"ENSNVIT00000000164,ENSNVIT00000000169",3450,3295.19,54,0.23,0.84
ENSNVIG00000000123,"ENSNVIT00000000105,ENSNVIT00000000122,ENSNVIT00000000127",1389.78,1234.98,305,3.5,12.61
ENSNVIG00000000124,ENSNVIT00000000113,915,760.19,0,0,0
ENSNVIG00000000125,ENSNVIT00000000103,107,4.87,0,0,0
ENSNVIG00000000126,"ENSNVIT00000000172,ENSNVIT00000000179",1959,1804.19,15,0.12,0.42
ENSNVIG00000000127,"ENSNVIT00000000173,ENSNVIT00000000185",4501.14,4346.72,1315,4.29,15.45
ENSNVIG00000000128,"ENSNVIT00000000124,ENSNVIT00000000137",1606.38,1451.57,11,0.11,0.39
ENSNVIG00000000129,"ENSNVIT00000000191,ENSNVIT00000000226,ENSNVIT00000000258",558,403.21,10,0.35,1.27
ENSNVIG00000000131,ENSNVIT00000000110,315,161.8,15,1.31,4.73
ENSNVIG00000000132,ENSNVIT00000000111,942,787.19,0,0,0
ENSNVIG00000000133,ENSNVIT00000000112,936,781.19,0,0,0
ENSNVIG00000000134,ENSNVIT00000000136,7651,7496.19,1168,2.21,7.95
ENSNVIG00000000135,ENSNVIT00000000114,993,838.19,0,0,0
ENSNVIG00000000136,ENSNVIT00000000117,981,826.19,0,0,0
ENSNVIG00000000137,ENSNVIT00000000128,1117,962.19,969,14.27,51.41
ENSNVIG00000000138,ENSNVIT00000000116,475,320.26,12,0.53,1.91
ENSNVIG00000000139,ENSNVIT00000000134,2085,1930.19,1268,9.31,33.54
ENSNVIG00000000140,ENSNVIT00000000123,885,730.19,0,0,0
ENSNVIG00000000141,ENSNVIT00000000120,164,30.9,0,0,0
ENSNVIG00000000142,ENSNVIT00000000129,960,805.19,0,0,0
ENSNVIG00000000143,ENSNVIT00000000141,1065,910.19,14,0.22,0.79
ENSNVIG00000000144,"ENSNVIT00000000375,ENSNVIT00000000377,ENSNVIT00000000396",1680.73,1525.93,312,2.9,10.44
ENSNVIG00000000145,ENSNVIT00000000119,104,4.16,0,0,0
ENSNVIG00000000146,"ENSNVIT00000001339,ENSNVIT00000001397,ENSNVIT00000001400,ENSNVIT00000001419",4378.4,4223.59,1818,6.1,21.98
ENSNVIG00000000147,ENSNVIT00000000130,2495,2340.19,459,2.78,10.01
ENSNVIG00000000148,"ENSNVIT00000000142,ENSNVIT00000000170,ENSNVIT00000000208",2866.12,2711.32,517.73,2.7,9.75
ENSNVIG00000000149,"ENSNVIT00000000968,ENSNVIT00000000985,ENSNVIT00000001007,ENSNVIT00000001044",2212.05,2057.25,33,0.23,0.82
ENSNVIG00000000150,ENSNVIT00000000125,328,174.46,0,0,0
ENSNVIG00000000151,"ENSNVIT00000000433,ENSNVIT00000000452,ENSNVIT00000000464",2067.45,1912.64,267,1.98,7.13
ENSNVIG00000000152,ENSNVIT00000000133,939,784.19,0,0,0
ENSNVIG00000000153,ENSNVIT00000000139,963,808.19,0,0,0
ENSNVIG00000000154,"ENSNVIT00000000180,ENSNVIT00000000205",2601,2446.19,1431,8.29,29.87
ENSNVIG00000000155,ENSNVIT00000000143,960,805.19,0,0,0
ENSNVIG00000000156,"ENSNVIT00000000216,ENSNVIT00000000229",5163,5008.19,950,2.69,9.68
ENSNVIG00000000157,ENSNVIT00000000165,3647,3492.19,18106,73.44,264.7
ENSNVIG00000000158,ENSNVIT00000000144,939,784.19,0,0,0
ENSNVIG00000000159,ENSNVIT00000000148,678,523.2,0,0,0
ENSNVIG00000000160,ENSNVIT00000000152,1011,856.19,167,2.76,9.96
ENSNVIG00000000161,"ENSNVIT00000000158,ENSNVIT00000000176,ENSNVIT00000000207,ENSNVIT00000000221",2249.74,2094.93,459,3.1,11.19
ENSNVIG00000000162,ENSNVIT00000000149,675,520.2,0,0,0
ENSNVIG00000000163,"ENSNVIT00000000695,ENSNVIT00000000737",7147.33,6992.53,2673,5.41,19.52
ENSNVIG00000000164,ENSNVIT00000000253,2763,2608.19,6,0.03,0.12
ENSNVIG00000000165,"ENSNVIT00000000162,ENSNVIT00000000163",603,448.21,0,0,0
ENSNVIG00000000166,ENSNVIT00000000178,2154,1999.19,594,4.21,15.17
ENSNVIG00000000167,ENSNVIT00000000153,141,17.7,0,0,0
ENSNVIG00000000168,ENSNVIT00000000154,936,781.19,0,0,0
ENSNVIG00000000169,ENSNVIT00000000155,105,4.39,0,0,0
ENSNVIG00000000170,ENSNVIT00000000161,918,763.19,0,0,0
ENSNVIG00000000171,ENSNVIT00000000159,501,346.24,2,0.08,0.29
ENSNVIG00000000172,ENSNVIT00000000160,2008,1853.19,2313,17.68,63.72
ENSNVIG00000000173,ENSNVIT00000000204,3645,3490.19,1447,5.87,21.17
ENSNVIG00000000174,"ENSNVIT00000000227,ENSNVIT00000000263",3022.95,2868.14,556,2.75,9.9
ENSNVIG00000000175,"ENSNVIT00000000199,ENSNVIT00000000220",522,367.22,6,0.23,0.83
ENSNVIG00000000176,ENSNVIT00000000166,939,784.19,0,0,0
ENSNVIG00000000177,ENSNVIT00000000168,930,775.19,0,0,0
ENSNVIG00000000178,ENSNVIT00000000174,2947,2792.19,1842,9.34,33.68
ENSNVIG00000000179,ENSNVIT00000000171,285,132.91,104,11.08,39.95
ENSNVIG00000000180,ENSNVIT00000000175,102,3.73,0,0,0
ENSNVIG00000000181,ENSNVIT00000000182,438,283.35,0,0,0
ENSNVIG00000000182,ENSNVIT00000000195,942,787.19,13,0.23,0.84
ENSNVIG00000000184,ENSNVIT00000000304,1089,934.19,243,3.68,13.28
ENSNVIG00000000185,ENSNVIT00000000192,582,427.2,131,4.34,15.66
ENSNVIG00000000186,ENSNVIT00000000183,123,9.8,0,0,0
ENSNVIG00000000187,ENSNVIT00000000186,942,787.19,0,0,0
ENSNVIG00000000188,"ENSNVIT00000000203,ENSNVIT00000000230",1943.19,1788.39,447,3.54,12.76
ENSNVIG00000000189,ENSNVIT00000000189,104,4.16,0,0,0
ENSNVIG00000000190,ENSNVIT00000000202,1488,1333.19,370.52,3.94,14.19
ENSNVIG00000000191,ENSNVIT00000000210,2301,2146.19,0,0,0
ENSNVIG00000000192,ENSNVIT00000000194,936,781.19,0,0,0
ENSNVIG00000000193,ENSNVIT00000000196,4079,3924.19,539,1.95,7.01
ENSNVIG00000000194,"ENSNVIT00000000616,ENSNVIT00000000637",5240,5085.19,927,2.58,9.31
ENSNVIG00000000195,"ENSNVIT00000000321,ENSNVIT00000000341,ENSNVIT00000000358,ENSNVIT00000000385",4735.3,4580.49,295,0.91,3.29
ENSNVIG00000000196,"ENSNVIT00000000884,ENSNVIT00000000934,ENSNVIT00000001043,ENSNVIT00000001066,ENSNVIT00000001081,ENSNVIT00000001099,ENSNVIT00000001116",1169,1014.19,19,0.27,0.96
ENSNVIG00000000197,ENSNVIT00000000213,300,147.29,0,0,0
ENSNVIG00000000198,"ENSNVIT00000000209,ENSNVIT00000000219",820,665.19,57,1.21,4.37
ENSNVIG00000000199,"ENSNVIT00000000211,ENSNVIT00000000255",1626.85,1472.04,198,1.91,6.87
ENSNVIG00000000200,ENSNVIT00000000212,5214,5059.19,690,1.93,6.96
ENSNVIG00000000201,"ENSNVIT00000000403,ENSNVIT00000000408",2313.25,2158.44,12,0.08,0.28
ENSNVIG00000000202,ENSNVIT00000000240,2316,2161.19,91,0.6,2.15
ENSNVIG00000000203,ENSNVIT00000000224,886,731.19,0,0,0
ENSNVIG00000000204,ENSNVIT00000000252,1035,880.19,5,0.08,0.29
ENSNVIG00000000205,ENSNVIT00000000232,1251,1096.19,0,0,0
ENSNVIG00000000206,ENSNVIT00000000235,1023,868.19,0,0,0
ENSNVIG00000000207,ENSNVIT00000000269,456,301.3,9218.48,433.39,1562.02
ENSNVIG00000000208,ENSNVIT00000000231,771,616.19,4,0.09,0.33
ENSNVIG00000000209,"ENSNVIT00000000293,ENSNVIT00000000315",1928.65,1773.85,137,1.09,3.94
ENSNVIG00000000210,"ENSNVIT00000000338,ENSNVIT00000000346",750,595.19,1007,23.97,86.38
ENSNVIG00000000211,ENSNVIT00000000233,59,0,0,0,0
ENSNVIG00000000212,ENSNVIT00000000243,678,523.2,0,0,0
ENSNVIG00000000213,ENSNVIT00000000234,1575,1420.19,59,0.59,2.12
ENSNVIG00000000214,ENSNVIT00000000236,1032,877.19,61,0.99,3.55
ENSNVIG00000000216,ENSNVIT00000000262,2703,2548.19,277,1.54,5.55
ENSNVIG00000000217,ENSNVIT00000000238,210,65.24,0,0,0
ENSNVIG00000000218,"ENSNVIT00000000246,ENSNVIT00000000267,ENSNVIT00000000287",2793.8,2638.99,1272,6.83,24.61
ENSNVIG00000000219,ENSNVIT00000000247,79,0,0,0,0
ENSNVIG00000000220,ENSNVIT00000000275,1647,1492.19,9,0.09,0.31
ENSNVIG00000000221,ENSNVIT00000000245,3271,3116.19,309,1.4,5.06
ENSNVIG00000000222,"ENSNVIT00000000239,ENSNVIT00000000257",2279.22,2124.41,1870,12.47,44.94
ENSNVIG00000000223,"ENSNVIT00000000248,ENSNVIT00000000268",1886,1731.19,587,4.8,17.31
ENSNVIG00000000224,ENSNVIT00000000259,2133,1978.19,0,0,0
ENSNVIG00000000225,ENSNVIT00000000301,4815,4660.19,4908,14.92,53.77
ENSNVIG00000000226,ENSNVIT00000000272,2424,2269.19,973,6.07,21.89
ENSNVIG00000000227,ENSNVIT00000000256,252,102.02,0,0,0
ENSNVIG00000000228,"ENSNVIT00000000310,ENSNVIT00000000331",3070.96,2916.16,142.88,0.69,2.5
ENSNVIG00000000229,ENSNVIT00000000265,903,748.19,0,0,0
ENSNVIG00000000230,ENSNVIT00000000274,2628,2473.19,1819,10.42,37.55
ENSNVIG00000000231,ENSNVIT00000000285,1697,1542.19,424,3.89,14.04
ENSNVIG00000000232,ENSNVIT00000000260,2945,2790.19,16,0.08,0.29
ENSNVIG00000000233,"ENSNVIT00000005081,ENSNVIT00000005089,ENSNVIT00000005166,ENSNVIT00000005195,ENSNVIT00000005205,ENSNVIT00000005340,ENSNVIT00000005428,ENSNVIT00000005486,ENSNVIT00000005549,ENSNVIT00000005612",8132.35,7977.55,1875,3.33,12
ENSNVIG00000000234,ENSNVIT00000000286,648,493.2,3,0.09,0.31
ENSNVIG00000000235,"ENSNVIT00000000276,ENSNVIT00000000305",1762,1607.19,94,0.83,2.99
ENSNVIG00000000236,ENSNVIT00000000270,164,30.9,3068.71,1406.63,5069.76
ENSNVIG00000000237,ENSNVIT00000000273,471,316.27,0,0,0
ENSNVIG00000000238,ENSNVIT00000000271,216,70.26,14,2.82,10.17
ENSNVIG00000000239,ENSNVIT00000000306,1613,1458.19,668,6.49,23.39
ENSNVIG00000000240,"ENSNVIT00000000280,ENSNVIT00000000283",2199.06,2044.25,9632,66.74,240.55
ENSNVIG00000000241,ENSNVIT00000000278,495,340.24,0,0,0
ENSNVIG00000000242,"ENSNVIT00000000523,ENSNVIT00000000540,ENSNVIT00000000551",971.78,816.98,798,13.84,49.87
ENSNVIG00000000244,"ENSNVIT00000000327,ENSNVIT00000000335",762.94,608.13,105,2.45,8.81
ENSNVIG00000000245,ENSNVIT00000000284,110,5.64,0,0,0
ENSNVIG00000000246,"ENSNVIT00000000325,ENSNVIT00000000371",1663.69,1508.88,342,3.21,11.57
ENSNVIG00000000247,ENSNVIT00000000277,936,781.19,0,0,0
ENSNVIG00000000248,ENSNVIT00000000295,2208,2053.19,5,0.03,0.12
ENSNVIG00000000249,ENSNVIT00000000281,936,781.19,0,0,0
ENSNVIG00000000250,ENSNVIT00000000291,1355,1200.19,3383,39.93,143.9
ENSNVIG00000000251,ENSNVIT00000000319,3060,2905.19,34,0.17,0.6
ENSNVIG00000000252,"ENSNVIT00000000348,ENSNVIT00000000350",1515.86,1361.05,119,1.24,4.46
ENSNVIG00000000253,ENSNVIT00000000391,12807,12652.19,8,0.01,0.03
ENSNVIG00000000254,"ENSNVIT00000000397,ENSNVIT00000000413,ENSNVIT00000000465,ENSNVIT00000000469,ENSNVIT00000000472",2588.91,2434.11,960,5.59,20.14
ENSNVIG00000000255,ENSNVIT00000000288,1433,1278.19,13,0.14,0.52
ENSNVIG00000000256,ENSNVIT00000000289,936,781.19,0,0,0
ENSNVIG00000000257,ENSNVIT00000000292,2145,1990.19,92,0.65,2.36
ENSNVIG00000000258,ENSNVIT00000000299,588,433.2,0,0,0
ENSNVIG00000000259,ENSNVIT00000000296,936,781.19,0,0,0
ENSNVIG00000000260,ENSNVIT00000000297,309,155.98,1,0.09,0.33
ENSNVIG00000000261,"ENSNVIT00000000323,ENSNVIT00000000395,ENSNVIT00000000415,ENSNVIT00000000429",662.8,508,277,7.72,27.84
ENSNVIG00000000262,ENSNVIT00000000303,150,22.47,0,0,0
ENSNVIG00000000263,ENSNVIT00000000309,882,727.19,635,12.37,44.58
ENSNVIG00000000264,ENSNVIT00000000300,339,185.23,31,2.37,8.54
ENSNVIG00000000265,ENSNVIT00000000302,900,745.19,0,0,0
ENSNVIG00000000266,ENSNVIT00000000307,990,835.19,118,2,7.21
ENSNVIG00000000267,ENSNVIT00000000357,3900,3745.19,1350,5.11,18.4
ENSNVIG00000000268,"ENSNVIT00000000383,ENSNVIT00000000384",2082,1927.19,296,2.18,7.84
ENSNVIG00000000269,"ENSNVIT00000000489,ENSNVIT00000000498,ENSNVIT00000000506,ENSNVIT00000000530",999.75,844.95,0,0,0
ENSNVIG00000000270,"ENSNVIT00000000370,ENSNVIT00000000386,ENSNVIT00000000416",4185,4030.19,235,0.83,2.98
ENSNVIG00000000271,ENSNVIT00000000308,945,790.19,0,0,0
ENSNVIG00000000272,"ENSNVIT00000000347,ENSNVIT00000000404,ENSNVIT00000000417,ENSNVIT00000000420",1133.6,979.65,22,0.32,1.15
ENSNVIG00000000273,"ENSNVIT00000000909,ENSNVIT00000000922,ENSNVIT00000000931",9368.78,9213.97,4066,6.25,22.53
ENSNVIG00000000274,ENSNVIT00000000318,288,135.77,3,0.31,1.13
ENSNVIG00000000275,ENSNVIT00000000313,105,4.39,0,0,0
ENSNVIG00000000276,ENSNVIT00000000311,86,1.3,0,0,0
ENSNVIG00000000278,ENSNVIT00000000326,2250,2095.19,27,0.18,0.66
ENSNVIG00000000279,ENSNVIT00000000316,951,796.19,0,0,0
ENSNVIG00000000280,ENSNVIT00000000337,675,520.2,409,11.14,40.14
ENSNVIG00000000281,"ENSNVIT00000000320,ENSNVIT00000000324",1626.29,1471.49,1367,13.16,47.43
ENSNVIG00000000282,"ENSNVIT00000001304,ENSNVIT00000001328,ENSNVIT00000001347,ENSNVIT00000001379,ENSNVIT00000001418",2465.57,2310.77,1332,8.17,29.43
ENSNVIG00000000283,"ENSNVIT00000000342,ENSNVIT00000000351,ENSNVIT00000000356",1525,1370.19,205,2.12,7.64
ENSNVIG00000000284,"ENSNVIT00000000481,ENSNVIT00000000487,ENSNVIT00000000513,ENSNVIT00000000520",3056.91,2902.1,547,2.67,9.62
ENSNVIG00000000285,ENSNVIT00000000392,1416,1261.19,76,0.85,3.08
ENSNVIG00000000286,ENSNVIT00000000317,106,4.62,0,0,0
ENSNVIG00000000287,ENSNVIT00000000322,1884,1729.19,0,0,0
ENSNVIG00000000288,ENSNVIT00000000329,1128,973.19,275,4,14.43
ENSNVIG00000000289,"ENSNVIT00000000349,ENSNVIT00000000354,ENSNVIT00000000364",4330,4175.19,46,0.16,0.56
ENSNVIG00000000290,ENSNVIT00000000328,1005,850.19,0,0,0
ENSNVIG00000000291,"ENSNVIT00000000512,ENSNVIT00000000542,ENSNVIT00000000554",1407,1252.19,0,0,0
ENSNVIG00000000292,"ENSNVIT00000000543,ENSNVIT00000000563",1454.88,1300.08,121,1.32,4.75
ENSNVIG00000000293,ENSNVIT00000000330,1008,853.19,0,0,0
ENSNVIG00000000294,ENSNVIT00000000333,527,372.22,191,7.27,26.2
ENSNVIG00000000295,ENSNVIT00000000332,115,7.08,0,0,0
ENSNVIG00000000297,"ENSNVIT00000000459,ENSNVIT00000000759,ENSNVIT00000000872,ENSNVIT00000000880,ENSNVIT00000000957,ENSNVIT00000001006,ENSNVIT00000001019",954,799.19,3,0.05,0.19
ENSNVIG00000000298,ENSNVIT00000000339,933,778.19,0,0,0
ENSNVIG00000000299,ENSNVIT00000000336,101,3.52,0,0,0
ENSNVIG00000000300,ENSNVIT00000000343,2476,2321.19,0,0,0
ENSNVIG00000000301,ENSNVIT00000000359,3471,3316.19,268,1.14,4.13
ENSNVIG00000000302,"ENSNVIT00000001091,ENSNVIT00000001110,ENSNVIT00000001142,ENSNVIT00000001154,ENSNVIT00000001185,ENSNVIT00000001231",2720.19,2565.39,992,5.48,19.74
ENSNVIG00000000303,ENSNVIT00000000340,107,4.87,0,0,0
