gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000047,ENSNVIT00000000039,894,721.33,1124,20.69,82.94
ENSNVIG00000000048,ENSNVIT00000000075,2313,2140.33,959,5.95,23.85
ENSNVIG00000000049,ENSNVIT00000000045,738,565.33,0,0,0
ENSNVIG00000000050,ENSNVIT00000000062,1233,1060.33,63,0.79,3.16
ENSNVIG00000000051,ENSNVIT00000000050,1221,1048.33,436,5.52,22.14
ENSNVIG00000000052,ENSNVIT00000000064,4126,3953.33,254,0.85,3.42
ENSNVIG00000000053,ENSNVIT00000000047,2251,2078.33,2513,16.06,64.36
ENSNVIG00000000054,"ENSNVIT00000000223,ENSNVIT00000000282,ENSNVIT00000000294,ENSNVIT00000000298,ENSNVIT00000000312",4323.15,4150.48,871,2.79,11.17
ENSNVIG00000000055,ENSNVIT00000000088,4758,4585.33,607,1.76,7.05
ENSNVIG00000000056,ENSNVIT00000000087,8916,8743.33,3714,5.64,22.61
ENSNVIG00000000057,"ENSNVIT00000001085,ENSNVIT00000001100,ENSNVIT00000001138,ENSNVIT00000001152,ENSNVIT00000001161",3612.62,3439.95,304,1.17,4.7
ENSNVIG00000000058,"ENSNVIT00000000200,ENSNVIT00000000254,ENSNVIT00000000261,ENSNVIT00000000264",2558,2385.33,186,1.04,4.15
ENSNVIG00000000059,"ENSNVIT00000000135,ENSNVIT00000000177,ENSNVIT00000000187,ENSNVIT00000000198",1882.15,1709.48,5462,42.43,170.07
ENSNVIG00000000060,ENSNVIT00000000048,1209,1036.33,366,4.69,18.8
ENSNVIG00000000061,"ENSNVIT00000000217,ENSNVIT00000000241,ENSNVIT00000000250",2775,2602.33,0,0,0
ENSNVIG00000000062,ENSNVIT00000000041,858,685.33,4,0.08,0.31
ENSNVIG00000000063,ENSNVIT00000000060,1344,1171.33,0,0,0
ENSNVIG00000000064,ENSNVIT00000000042,1279,1106.33,80,0.96,3.85
ENSNVIG00000000065,ENSNVIT00000000044,231,68.22,0,0,0
ENSNVIG00000000066,"ENSNVIT00000000583,ENSNVIT00000000619,ENSNVIT00000000636,ENSNVIT00000000687,ENSNVIT00000000694",4028.34,3855.67,161,0.55,2.22
ENSNVIG00000000067,ENSNVIT00000000046,1505,1332.33,2518,25.1,100.6
ENSNVIG00000000068,"ENSNVIT00000000077,ENSNVIT00000000108",933,760.33,117,2.04,8.19
ENSNVIG00000000069,"ENSNVIT00000000118,ENSNVIT00000000146,ENSNVIT00000000150",1144,971.33,54,0.74,2.96
ENSNVIG00000000070,ENSNVIT00000000059,3333,3160.33,51,0.21,0.86
ENSNVIG00000000071,ENSNVIT00000000054,1770,1597.33,557.08,4.63,18.56
ENSNVIG00000000072,"ENSNVIT00000000184,ENSNVIT00000000190",908.75,736.08,35,0.63,2.53
ENSNVIG00000000073,"ENSNVIT00000000967,ENSNVIT00000000986,ENSNVIT00000001010,ENSNVIT00000001016",3076.4,2903.73,1386,6.34,25.41
ENSNVIG00000000074,ENSNVIT00000000052,942,769.33,0,0,0
ENSNVIG00000000075,ENSNVIT00000000049,753,580.33,322,7.37,29.53
ENSNVIG00000000076,ENSNVIT00000000057,1502,1329.33,1,0.01,0.04
ENSNVIG00000000077,ENSNVIT00000000051,1065,892.33,0,0,0
ENSNVIG00000000078,ENSNVIT00000000092,2127,1954.33,0,0,0
ENSNVIG00000000079,ENSNVIT00000000073,1672,1499.33,252,2.23,8.95
ENSNVIG00000000080,ENSNVIT00000000053,111,3.35,0,0,0
ENSNVIG00000000081,"ENSNVIT00000000109,ENSNVIT00000000115",1404.83,1232.16,2105,22.69,90.93
ENSNVIG00000000082,ENSNVIT00000000055,2054,1881.33,891,6.29,25.21
ENSNVIG00000000083,"ENSNVIT00000000345,ENSNVIT00000000353,ENSNVIT00000000355",3387.64,3214.97,1072,4.43,17.75
ENSNVIG00000000084,ENSNVIT00000000104,753,580.33,10,0.23,0.92
ENSNVIG00000000085,ENSNVIT00000000061,936,763.33,0,0,0
ENSNVIG00000000086,"ENSNVIT00000000106,ENSNVIT00000000121,ENSNVIT00000000132",3791,3618.33,615,2.26,9.05
ENSNVIG00000000087,ENSNVIT00000000066,1479,1306.33,102,1.04,4.16
ENSNVIG00000000088,ENSNVIT00000000076,675,502.33,0,0,0
ENSNVIG00000000089,ENSNVIT00000000097,1941,1768.33,844,6.34,25.4
ENSNVIG00000000090,"ENSNVIT00000000138,ENSNVIT00000000147,ENSNVIT00000000157",897.32,724.65,148,2.71,10.87
ENSNVIG00000000091,"ENSNVIT00000000193,ENSNVIT00000000225,ENSNVIT00000000244",2009.09,1836.42,249,1.8,7.22
ENSNVIG00000000092,ENSNVIT00000000279,3609,3436.33,364,1.41,5.64
ENSNVIG00000000093,ENSNVIT00000000058,106,2.57,14,72.36,290.01
ENSNVIG00000000094,"ENSNVIT00000000102,ENSNVIT00000000131",1738.27,1565.6,522,4.43,17.75
ENSNVIG00000000095,"ENSNVIT00000000215,ENSNVIT00000000228,ENSNVIT00000000237,ENSNVIT00000000251,ENSNVIT00000000290",1277.09,1104.42,946,11.38,45.59
ENSNVIG00000000096,ENSNVIT00000000063,2256,2083.33,54,0.34,1.38
ENSNVIG00000000097,ENSNVIT00000000084,1344,1171.33,449,5.09,20.4
ENSNVIG00000000099,ENSNVIT00000000068,100,1.81,0,0,0
ENSNVIG00000000100,ENSNVIT00000000085,1371,1198.33,1132,12.55,50.28
ENSNVIG00000000101,"ENSNVIT00000000140,ENSNVIT00000000181",1795.83,1623.16,69,0.56,2.26
ENSNVIG00000000102,ENSNVIT00000000080,900,727.33,0,0,0
ENSNVIG00000000103,"ENSNVIT00000000083,ENSNVIT00000000101,ENSNVIT00000000126,ENSNVIT00000000167,ENSNVIT00000000197",3047.9,2875.23,323,1.49,5.98
ENSNVIG00000000104,ENSNVIT00000000100,3837,3664.33,55,0.2,0.8
ENSNVIG00000000105,ENSNVIT00000000072,408,235.72,0,0,0
ENSNVIG00000000106,ENSNVIT00000000069,1316,1143.33,6,0.07,0.28
ENSNVIG00000000107,ENSNVIT00000000070,877,704.33,0,0,0
ENSNVIG00000000108,ENSNVIT00000000079,1320,1147.33,1,0.01,0.05
ENSNVIG00000000109,ENSNVIT00000000082,1104,931.33,24,0.34,1.37
ENSNVIG00000000110,"ENSNVIT00000000095,ENSNVIT00000000099",2332.85,2160.17,61.45,0.38,1.51
ENSNVIG00000000111,"ENSNVIT00000000151,ENSNVIT00000000156",1093.5,920.83,0,0,0
ENSNVIG00000000112,ENSNVIT00000000078,1867,1694.33,6,0.05,0.19
ENSNVIG00000000113,ENSNVIT00000000094,1644,1471.33,15,0.14,0.54
ENSNVIG00000000114,ENSNVIT00000000086,133,8.61,3,4.63,18.54
ENSNVIG00000000115,ENSNVIT00000000089,993,820.33,2,0.03,0.13
ENSNVIG00000000116,ENSNVIT00000000093,930,757.33,1,0.02,0.07
ENSNVIG00000000117,ENSNVIT00000000145,1020,847.33,12,0.19,0.75
ENSNVIG00000000118,ENSNVIT00000000090,54,0,0,0,0
ENSNVIG00000000120,ENSNVIT00000000096,285,116.16,5,0.57,2.29
ENSNVIG00000000122,"ENSNVIT00000000164,ENSNVIT00000000169",3450,3277.33,172,0.7,2.79
ENSNVIG00000000123,"ENSNVIT00000000105,ENSNVIT00000000122,ENSNVIT00000000127",1387,1214.33,224,2.45,9.82
ENSNVIG00000000124,ENSNVIT00000000113,915,742.33,0,0,0
ENSNVIG00000000125,ENSNVIT00000000103,107,2.71,0,0,0
ENSNVIG00000000126,"ENSNVIT00000000172,ENSNVIT00000000179",1959,1786.33,84,0.62,2.5
ENSNVIG00000000127,"ENSNVIT00000000173,ENSNVIT00000000185",5443.78,5271.38,3266,8.23,32.98
ENSNVIG00000000128,"ENSNVIT00000000124,ENSNVIT00000000137",2058.41,1885.74,204,1.44,5.76
ENSNVIG00000000129,"ENSNVIT00000000191,ENSNVIT00000000226,ENSNVIT00000000258",540.85,368.21,16,0.58,2.31
ENSNVIG00000000131,ENSNVIT00000000110,315,144.57,32,2.94,11.78
ENSNVIG00000000132,ENSNVIT00000000111,942,769.33,0,0,0
ENSNVIG00000000133,ENSNVIT00000000112,936,763.33,0,0,0
ENSNVIG00000000134,ENSNVIT00000000136,7651,7478.33,1487,2.64,10.58
ENSNVIG00000000135,ENSNVIT00000000114,993,820.33,0,0,0
ENSNVIG00000000136,ENSNVIT00000000117,981,808.33,0,0,0
ENSNVIG00000000137,ENSNVIT00000000128,1117,944.33,767,10.79,43.23
ENSNVIG00000000138,ENSNVIT00000000116,475,302.44,45,1.98,7.92
ENSNVIG00000000139,ENSNVIT00000000134,2085,1912.33,1279,8.88,35.6
ENSNVIG00000000140,ENSNVIT00000000123,885,712.33,0,0,0
ENSNVIG00000000141,ENSNVIT00000000120,164,21.54,0,0,0
ENSNVIG00000000142,ENSNVIT00000000129,960,787.33,0,0,0
ENSNVIG00000000143,ENSNVIT00000000141,1065,892.33,7,0.1,0.42
ENSNVIG00000000144,"ENSNVIT00000000375,ENSNVIT00000000377,ENSNVIT00000000396",1666.18,1493.51,354,3.15,12.62
ENSNVIG00000000145,ENSNVIT00000000119,104,2.3,0,0,0
ENSNVIG00000000146,"ENSNVIT00000001339,ENSNVIT00000001397,ENSNVIT00000001400,ENSNVIT00000001419",4418.2,4245.53,2194,6.86,27.51
ENSNVIG00000000147,ENSNVIT00000000130,2495,2322.33,889,5.08,20.38
ENSNVIG00000000148,"ENSNVIT00000000142,ENSNVIT00000000170,ENSNVIT00000000208",2692.77,2520.1,579.55,3.05,12.24
ENSNVIG00000000149,"ENSNVIT00000000968,ENSNVIT00000000985,ENSNVIT00000001007,ENSNVIT00000001044",2175,2002.33,28,0.19,0.74
ENSNVIG00000000150,ENSNVIT00000000125,328,157.09,0,0,0
ENSNVIG00000000151,"ENSNVIT00000000433,ENSNVIT00000000452,ENSNVIT00000000464",2037.95,1865.28,232,1.65,6.62
ENSNVIG00000000152,ENSNVIT00000000133,939,766.33,0,0,0
ENSNVIG00000000153,ENSNVIT00000000139,963,790.33,0,0,0
ENSNVIG00000000154,"ENSNVIT00000000180,ENSNVIT00000000205",2601,2428.33,1784,9.76,39.1
ENSNVIG00000000155,ENSNVIT00000000143,960,787.33,0,0,0
ENSNVIG00000000156,"ENSNVIT00000000216,ENSNVIT00000000229",5163,4990.33,1391,3.7,14.84
ENSNVIG00000000157,ENSNVIT00000000165,3647,3474.33,18132,69.31,277.79
ENSNVIG00000000158,ENSNVIT00000000144,939,766.33,0,0,0
ENSNVIG00000000159,ENSNVIT00000000148,678,505.33,0,0,0
ENSNVIG00000000160,ENSNVIT00000000152,1011,838.33,21,0.33,1.33
ENSNVIG00000000161,"ENSNVIT00000000158,ENSNVIT00000000176,ENSNVIT00000000207,ENSNVIT00000000221",2245.57,2072.9,422,2.7,10.84
ENSNVIG00000000162,ENSNVIT00000000149,675,502.33,0,0,0
ENSNVIG00000000163,"ENSNVIT00000000695,ENSNVIT00000000737",7149,6976.33,2902,5.52,22.14
ENSNVIG00000000164,ENSNVIT00000000253,2763,2590.33,2,0.01,0.04
ENSNVIG00000000165,"ENSNVIT00000000162,ENSNVIT00000000163",603,430.35,0,0,0
ENSNVIG00000000166,ENSNVIT00000000178,2154,1981.33,668,4.48,17.95
ENSNVIG00000000167,ENSNVIT00000000153,141,11.3,0,0,0
ENSNVIG00000000168,ENSNVIT00000000154,936,763.33,0,0,0
ENSNVIG00000000169,ENSNVIT00000000155,105,2.43,0,0,0
ENSNVIG00000000170,ENSNVIT00000000161,918,745.33,0,0,0
ENSNVIG00000000171,ENSNVIT00000000159,501,328.39,4,0.16,0.65
ENSNVIG00000000172,ENSNVIT00000000160,2008,1835.33,2604,18.84,75.52
ENSNVIG00000000173,ENSNVIT00000000204,3645,3472.33,1362,5.21,20.88
ENSNVIG00000000174,"ENSNVIT00000000227,ENSNVIT00000000263",3093.9,2921.23,775,3.52,14.12
ENSNVIG00000000175,"ENSNVIT00000000199,ENSNVIT00000000220",798.88,626.21,7,0.15,0.59
ENSNVIG00000000176,ENSNVIT00000000166,939,766.33,0,0,0
ENSNVIG00000000177,ENSNVIT00000000168,930,757.33,0,0,0
ENSNVIG00000000178,ENSNVIT00000000174,2947,2774.33,2085,9.98,40
ENSNVIG00000000179,ENSNVIT00000000171,285,116.16,50,5.72,22.91
ENSNVIG00000000180,ENSNVIT00000000175,102,2.05,0,0,0
ENSNVIG00000000181,ENSNVIT00000000182,438,265.55,0,0,0
ENSNVIG00000000182,ENSNVIT00000000195,942,769.33,15,0.26,1.04
ENSNVIG00000000184,ENSNVIT00000000304,1089,916.33,365,5.29,21.2
ENSNVIG00000000185,ENSNVIT00000000192,582,409.34,188,6.1,24.45
ENSNVIG00000000186,ENSNVIT00000000183,123,5.83,0,0,0
ENSNVIG00000000187,ENSNVIT00000000186,942,769.33,0,0,0
ENSNVIG00000000188,"ENSNVIT00000000203,ENSNVIT00000000230",2819.32,2646.65,151,0.76,3.04
ENSNVIG00000000189,ENSNVIT00000000189,104,2.3,0,0,0
ENSNVIG00000000190,ENSNVIT00000000202,1488,1315.33,238.98,2.41,9.67
ENSNVIG00000000191,ENSNVIT00000000210,2301,2128.33,0,0,0
ENSNVIG00000000192,ENSNVIT00000000194,936,763.33,0,0,0
ENSNVIG00000000193,ENSNVIT00000000196,4079,3906.33,689,2.34,9.39
ENSNVIG00000000194,"ENSNVIT00000000616,ENSNVIT00000000637",5240,5067.33,906,2.37,9.52
ENSNVIG00000000195,"ENSNVIT00000000321,ENSNVIT00000000341,ENSNVIT00000000358,ENSNVIT00000000385",4723.56,4550.89,611,1.78,7.15
ENSNVIG00000000196,"ENSNVIT00000000884,ENSNVIT00000000934,ENSNVIT00000001043,ENSNVIT00000001066,ENSNVIT00000001081,ENSNVIT00000001099,ENSNVIT00000001116",1363.35,1190.68,25,0.28,1.12
ENSNVIG00000000197,ENSNVIT00000000213,300,130.26,0,0,0
ENSNVIG00000000198,"ENSNVIT00000000209,ENSNVIT00000000219",820,647.33,54,1.11,4.44
ENSNVIG00000000199,"ENSNVIT00000000211,ENSNVIT00000000255",1534.42,1361.75,399,3.89,15.6
ENSNVIG00000000200,ENSNVIT00000000212,5214,5041.33,785,2.07,8.29
ENSNVIG00000000201,"ENSNVIT00000000403,ENSNVIT00000000408",2088.3,1915.63,14,0.1,0.39
ENSNVIG00000000202,ENSNVIT00000000240,2316,2143.33,88,0.55,2.19
ENSNVIG00000000203,ENSNVIT00000000224,886,713.33,9,0.17,0.67
ENSNVIG00000000204,ENSNVIT00000000252,1035,862.33,0,0,0
ENSNVIG00000000205,ENSNVIT00000000232,1251,1078.33,0,0,0
ENSNVIG00000000206,ENSNVIT00000000235,1023,850.33,0,0,0
ENSNVIG00000000207,ENSNVIT00000000269,456,283.48,8928.75,418.31,1676.49
ENSNVIG00000000208,ENSNVIT00000000231,771,598.33,0,0,0
ENSNVIG00000000209,"ENSNVIT00000000293,ENSNVIT00000000315",1998,1825.33,49,0.36,1.43
ENSNVIG00000000210,"ENSNVIT00000000338,ENSNVIT00000000346",750,577.33,1017,23.4,93.76
ENSNVIG00000000211,ENSNVIT00000000233,59,0,0,0,0
ENSNVIG00000000212,ENSNVIT00000000243,678,505.33,0,0,0
ENSNVIG00000000213,ENSNVIT00000000234,1575,1402.33,66,0.63,2.51
ENSNVIG00000000214,ENSNVIT00000000236,1032,859.33,81,1.25,5.02
ENSNVIG00000000216,ENSNVIT00000000262,2703,2530.33,675,3.54,14.2
ENSNVIG00000000217,ENSNVIT00000000238,210,51.53,0,0,0
ENSNVIG00000000218,"ENSNVIT00000000246,ENSNVIT00000000267,ENSNVIT00000000287",2735.05,2562.38,2808,14.55,58.33
ENSNVIG00000000219,ENSNVIT00000000247,79,0,0,0,0
ENSNVIG00000000220,ENSNVIT00000000275,1647,1474.33,9,0.08,0.32
ENSNVIG00000000221,ENSNVIT00000000245,3271,3098.33,556,2.38,9.55
ENSNVIG00000000222,"ENSNVIT00000000239,ENSNVIT00000000257",2281.29,2108.62,1239,7.8,31.28
ENSNVIG00000000223,"ENSNVIT00000000248,ENSNVIT00000000268",1886,1713.33,923,7.15,28.67
ENSNVIG00000000224,ENSNVIT00000000259,2133,1960.33,0,0,0
ENSNVIG00000000225,ENSNVIT00000000301,4815,4642.33,2446,7,28.05
ENSNVIG00000000226,ENSNVIT00000000272,2424,2251.33,804,4.74,19.01
ENSNVIG00000000227,ENSNVIT00000000256,252,86.18,0,0,0
ENSNVIG00000000228,"ENSNVIT00000000310,ENSNVIT00000000331",3069,2896.33,217.16,1,3.99
ENSNVIG00000000229,ENSNVIT00000000265,903,730.33,0,0,0
ENSNVIG00000000230,ENSNVIT00000000274,2628,2455.33,2397,12.97,51.96
ENSNVIG00000000231,ENSNVIT00000000285,1697,1524.33,445,3.88,15.54
ENSNVIG00000000232,ENSNVIT00000000260,2945,2772.33,46,0.22,0.88
ENSNVIG00000000233,"ENSNVIT00000005081,ENSNVIT00000005089,ENSNVIT00000005166,ENSNVIT00000005195,ENSNVIT00000005205,ENSNVIT00000005340,ENSNVIT00000005428,ENSNVIT00000005486,ENSNVIT00000005549,ENSNVIT00000005612",8085.17,7912.5,3667,6.16,24.67
ENSNVIG00000000234,ENSNVIT00000000286,648,475.33,0,0,0
ENSNVIG00000000235,"ENSNVIT00000000276,ENSNVIT00000000305",1762,1589.33,226,1.89,7.57
ENSNVIG00000000236,ENSNVIT00000000270,164,21.54,4818.85,2971.54,11909.26
ENSNVIG00000000237,ENSNVIT00000000273,471,298.44,0,0,0
ENSNVIG00000000238,ENSNVIT00000000271,216,56.15,40,9.46,37.92
ENSNVIG00000000239,ENSNVIT00000000306,1613,1440.33,972,8.96,35.92
ENSNVIG00000000240,"ENSNVIT00000000280,ENSNVIT00000000283",2199.85,2027.18,5971,39.12,156.78
ENSNVIG00000000241,ENSNVIT00000000278,495,322.4,0,0,0
ENSNVIG00000000242,"ENSNVIT00000000523,ENSNVIT00000000540,ENSNVIT00000000551",985.8,813.13,573,9.36,37.51
ENSNVIG00000000244,"ENSNVIT00000000327,ENSNVIT00000000335",756,583.33,186,4.23,16.97
ENSNVIG00000000245,ENSNVIT00000000284,110,3.18,0,0,0
ENSNVIG00000000246,"ENSNVIT00000000325,ENSNVIT00000000371",1644.54,1471.87,428,3.86,15.48
ENSNVIG00000000247,ENSNVIT00000000277,936,763.33,0,0,0
ENSNVIG00000000248,ENSNVIT00000000295,2208,2035.33,32,0.21,0.84
ENSNVIG00000000249,ENSNVIT00000000281,936,763.33,0,0,0
ENSNVIG00000000250,ENSNVIT00000000291,1355,1182.33,3086,34.66,138.93
ENSNVIG00000000251,ENSNVIT00000000319,3060,2887.33,90,0.41,1.66
ENSNVIG00000000252,"ENSNVIT00000000348,ENSNVIT00000000350",1530,1357.33,738,7.22,28.94
ENSNVIG00000000253,ENSNVIT00000000391,12807,12634.33,29,0.03,0.12
ENSNVIG00000000254,"ENSNVIT00000000397,ENSNVIT00000000413,ENSNVIT00000000465,ENSNVIT00000000469,ENSNVIT00000000472",2575.39,2402.72,1825,10.09,40.43
ENSNVIG00000000255,ENSNVIT00000000288,1433,1260.33,23,0.24,0.97
ENSNVIG00000000256,ENSNVIT00000000289,936,763.33,0,0,0
ENSNVIG00000000257,ENSNVIT00000000292,2145,1972.33,57,0.38,1.54
ENSNVIG00000000258,ENSNVIT00000000299,588,415.34,8,0.26,1.03
ENSNVIG00000000259,ENSNVIT00000000296,936,763.33,0,0,0
ENSNVIG00000000260,ENSNVIT00000000297,309,138.82,0,0,0
ENSNVIG00000000261,"ENSNVIT00000000323,ENSNVIT00000000395,ENSNVIT00000000415,ENSNVIT00000000429",649.11,476.44,1275,35.54,142.44
ENSNVIG00000000262,ENSNVIT00000000303,150,14.86,0,0,0
ENSNVIG00000000263,ENSNVIT00000000309,882,709.33,786,14.72,58.98
ENSNVIG00000000264,ENSNVIT00000000300,339,167.77,74,5.86,23.48
ENSNVIG00000000265,ENSNVIT00000000302,900,727.33,0,0,0
ENSNVIG00000000266,ENSNVIT00000000307,990,817.33,96,1.56,6.25
ENSNVIG00000000267,ENSNVIT00000000357,3900,3727.33,1818,6.48,25.96
ENSNVIG00000000268,"ENSNVIT00000000383,ENSNVIT00000000384",2082,1909.33,222,1.54,6.19
ENSNVIG00000000269,"ENSNVIT00000000489,ENSNVIT00000000498,ENSNVIT00000000506,ENSNVIT00000000530",999.75,827.08,0,0,0
ENSNVIG00000000270,"ENSNVIT00000000370,ENSNVIT00000000386,ENSNVIT00000000416",4170,3997.33,171,0.57,2.28
ENSNVIG00000000271,ENSNVIT00000000308,945,772.33,0,0,0
ENSNVIG00000000272,"ENSNVIT00000000347,ENSNVIT00000000404,ENSNVIT00000000417,ENSNVIT00000000420",1449,1276.33,24,0.25,1
ENSNVIG00000000273,"ENSNVIT00000000909,ENSNVIT00000000922,ENSNVIT00000000931",9368.62,9195.94,5394,7.79,31.22
ENSNVIG00000000274,ENSNVIT00000000318,288,118.96,2,0.22,0.89
ENSNVIG00000000275,ENSNVIT00000000313,105,2.43,0,0,0
ENSNVIG00000000276,ENSNVIT00000000311,86,0,0,0,0
ENSNVIG00000000278,ENSNVIT00000000326,2250,2077.33,38,0.24,0.97
ENSNVIG00000000279,ENSNVIT00000000316,951,778.33,0,0,0
ENSNVIG00000000280,ENSNVIT00000000337,675,502.33,525,13.88,55.63
ENSNVIG00000000281,"ENSNVIT00000000320,ENSNVIT00000000324",1631,1458.33,631,5.75,23.03
ENSNVIG00000000282,"ENSNVIT00000001304,ENSNVIT00000001328,ENSNVIT00000001347,ENSNVIT00000001379,ENSNVIT00000001418",2454.08,2281.41,1592,9.27,37.14
ENSNVIG00000000283,"ENSNVIT00000000342,ENSNVIT00000000351,ENSNVIT00000000356",1154.36,981.69,46,0.62,2.49
ENSNVIG00000000284,"ENSNVIT00000000481,ENSNVIT00000000487,ENSNVIT00000000513,ENSNVIT00000000520",3373.79,3201.12,2050,8.51,34.09
ENSNVIG00000000285,ENSNVIT00000000392,1416,1243.33,327,3.49,14
ENSNVIG00000000286,ENSNVIT00000000317,106,2.57,0,0,0
ENSNVIG00000000287,ENSNVIT00000000322,1884,1711.33,0,0,0
ENSNVIG00000000288,ENSNVIT00000000329,1128,955.33,501,6.96,27.91
ENSNVIG00000000289,"ENSNVIT00000000349,ENSNVIT00000000354,ENSNVIT00000000364",4318.7,4146.03,68,0.22,0.87
ENSNVIG00000000290,ENSNVIT00000000328,1005,832.33,0,0,0
ENSNVIG00000000291,"ENSNVIT00000000512,ENSNVIT00000000542,ENSNVIT00000000554",1305,1132.33,11,0.13,0.52
ENSNVIG00000000292,"ENSNVIT00000000543,ENSNVIT00000000563",1439.42,1266.75,216,2.26,9.08
ENSNVIG00000000293,ENSNVIT00000000330,1008,835.33,1,0.02,0.06
ENSNVIG00000000294,ENSNVIT00000000333,527,354.37,160,6,24.03
ENSNVIG00000000295,ENSNVIT00000000332,115,4.07,0,0,0
ENSNVIG00000000297,"ENSNVIT00000000459,ENSNVIT00000000759,ENSNVIT00000000872,ENSNVIT00000000880,ENSNVIT00000000957,ENSNVIT00000001006,ENSNVIT00000001019",1088.57,915.94,0,0,0
ENSNVIG00000000298,ENSNVIT00000000339,933,760.33,0,0,0
ENSNVIG00000000299,ENSNVIT00000000336,101,1.93,0,0,0
ENSNVIG00000000300,ENSNVIT00000000343,2476,2303.33,0,0,0
ENSNVIG00000000301,ENSNVIT00000000359,3471,3298.33,377,1.52,6.08
ENSNVIG00000000302,"ENSNVIT00000001091,ENSNVIT00000001110,ENSNVIT00000001142,ENSNVIT00000001154,ENSNVIT00000001185,ENSNVIT00000001231",2752.32,2579.65,2535,13.05,52.31
ENSNVIG00000000303,ENSNVIT00000000340,107,2.71,0,0,0
ENSNVIG00000000304,ENSNVIT00000000366,450,277.5,0,0,0
